kw1	kw2	iteration	pg	edge_weight	crit_p	inv_edge_weight	R1C1
GGT1	triple negative breast neoplasms/drug therapy	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
GGT1	tumor-associated macrophages/drug effects	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
GGT1	drug resistance neoplasm	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
GGT1	basic-leucine zipper transcription factors/analysis	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
GGT1	IL6	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
GGT1	JAK2	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
triple negative breast neoplasms/drug therapy	tumor-associated macrophages/drug effects	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
triple negative breast neoplasms/drug therapy	drug resistance neoplasm	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
triple negative breast neoplasms/drug therapy	basic-leucine zipper transcription factors/analysis	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
triple negative breast neoplasms/drug therapy	IL6	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
triple negative breast neoplasms/drug therapy	JAK2	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
basic-leucine zipper transcription factors/analysis	tumor-associated macrophages/drug effects	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
basic-leucine zipper transcription factors/analysis	drug resistance neoplasm	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
basic-leucine zipper transcription factors/analysis	IL6	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
basic-leucine zipper transcription factors/analysis	JAK2	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
IL6	tumor-associated macrophages/drug effects	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
IL6	drug resistance neoplasm	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
IL6	JAK2	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
JAK2	tumor-associated macrophages/drug effects	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
JAK2	drug resistance neoplasm	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
drug resistance neoplasm	tumor-associated macrophages/drug effects	0	3.6840033246221533e-09	0.037037037037037	3.060750707374433e-08	0.4895921776240851	1
