kw1	kw2	R1C1	crit_p	edge_weight	inv_edge_weight	pg	iteration
adaptor proteins vesicular transport/genetics	phenylenediamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
adaptor proteins vesicular transport/genetics	TLR4	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
adaptor proteins vesicular transport/genetics	toll-like receptor 4/genetics	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
adaptor proteins vesicular transport/genetics	TRIM69	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
adaptor proteins vesicular transport/genetics	ventricular function left/drug effects	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
inflammation/drug therapy	cyclohexylamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
inflammation/drug therapy	myocardium/immunology	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
inflammation/drug therapy	neutrophils/immunology	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
inflammation/drug therapy	phenylenediamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
inflammation/drug therapy	TLR4	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
inflammation/drug therapy	toll-like receptor 4/genetics	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
inflammation/drug therapy	TRIM69	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
inflammation/drug therapy	ventricular function left/drug effects	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
neutrophils/immunology	cyclohexylamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
neutrophils/immunology	myocardium/immunology	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
neutrophils/immunology	phenylenediamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
neutrophils/immunology	TLR4	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
neutrophils/immunology	toll-like receptor 4/genetics	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
neutrophils/immunology	TRIM69	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
neutrophils/immunology	ventricular function left/drug effects	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
TRIM69	cyclohexylamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
TRIM69	myocardium/immunology	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
TRIM69	phenylenediamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
TRIM69	TLR4	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
TRIM69	toll-like receptor 4/genetics	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
TRIM69	ventricular function left/drug effects	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
myocardium/immunology	cyclohexylamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
myocardium/immunology	phenylenediamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
myocardium/immunology	TLR4	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
myocardium/immunology	toll-like receptor 4/genetics	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
myocardium/immunology	ventricular function left/drug effects	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
toll-like receptor 4/genetics	cyclohexylamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
toll-like receptor 4/genetics	phenylenediamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
toll-like receptor 4/genetics	TLR4	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
toll-like receptor 4/genetics	ventricular function left/drug effects	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
ventricular function left/drug effects	cyclohexylamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
ventricular function left/drug effects	phenylenediamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
ventricular function left/drug effects	TLR4	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
cyclohexylamines/pharmacology	phenylenediamines/pharmacology	2	0.000430698472181	0.0028490028490028	0.181069082389183	0.00014820110894	0
cyclohexylamines/pharmacology	TLR4	2	0.000430698472181	0.0028490028490028	0.181069082389183	0.00014820110894	0
TLR4	phenylenediamines/pharmacology	2	0.000430698472181	0.0028490028490028	0.181069082389183	0.00014820110894	0
