kw1	kw2	edge_weight	R1C1	iteration	pg	inv_edge_weight	crit_p
iron/chemistry	PRKAA2	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
allografts	cell movement/drug effects	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
allografts	glycogen synthase kinase 3/metabolism	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
allografts	lung neoplasms/drug therapy	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
allografts	BTRC	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
allografts	CTLA4	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
allografts	GSK3B	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
allografts	MTOR	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
allografts	PRKAA2	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
glycogen synthase kinase 3/metabolism	cell movement/drug effects	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
glycogen synthase kinase 3/metabolism	lung neoplasms/drug therapy	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
glycogen synthase kinase 3/metabolism	BTRC	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
glycogen synthase kinase 3/metabolism	CTLA4	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
glycogen synthase kinase 3/metabolism	GSK3B	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
glycogen synthase kinase 3/metabolism	MTOR	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
glycogen synthase kinase 3/metabolism	PRKAA2	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
MTOR	cell movement/drug effects	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
MTOR	lung neoplasms/drug therapy	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
MTOR	BTRC	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
MTOR	CTLA4	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
MTOR	GSK3B	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
MTOR	PRKAA2	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
GSK3B	cell movement/drug effects	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
GSK3B	lung neoplasms/drug therapy	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
GSK3B	BTRC	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
GSK3B	CTLA4	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
GSK3B	PRKAA2	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
cell movement/drug effects	lung neoplasms/drug therapy	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
cell movement/drug effects	BTRC	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
cell movement/drug effects	CTLA4	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
cell movement/drug effects	PRKAA2	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
PRKAA2	lung neoplasms/drug therapy	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
PRKAA2	BTRC	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
PRKAA2	CTLA4	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
lung neoplasms/drug therapy	BTRC	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
lung neoplasms/drug therapy	CTLA4	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
CTLA4	BTRC	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
