"entity"	"membership"
"phenol/chemistry"	9
"programmed cell death 1 receptor/metabolism"	9
"t-lymphocytes cytotoxic/metabolism"	9
"urinary bladder neoplasms/pathology"	9
"allografts"	10
"biomarkers"	10
"BTRC"	10
"cell movement/drug effects"	10
"CTLA4"	10
"epithelial-mesenchymal transition"	10
"GABPA"	10
"glycogen synthase kinase 3/metabolism"	10
"GSK3B"	10
"hypoxia-inducible factor 1 alpha subunit/genetics"	10
"hypoxia/metabolism"	10
"interferons/metabolism"	10
"iron/chemistry"	10
"janus kinases/metabolism"	10
"lung neoplasms/drug therapy"	10
"MTOR"	10
"neoplasms/metabolism"	10
"nf-e2-related factor 2/genetics"	10
"NFE2L2"	10
"PIK3CA"	10
"PRKAA2"	10
"protein kinase inhibitors/pharmacology"	10
"ras proteins/metabolism"	10
"tor serine-threonine kinases/metabolism"	10
"amino acid transport system y+/genetics"	11
"antigens polyomavirus transforming/genetics"	11
"antineoplastic agents immunological/administration & dosage"	11
"ATM"	11
"cd8-positive t-lymphocytes/immunology"	11
"cell line transformed"	11
"cell proliferation"	11
"ceramides/pharmacology"	11
"CSF1"	11
"CSF2"	11
"cysteine/metabolism"	11
"fusion regulatory protein 1 heavy chain/metabolism"	11
"interferon-gamma/immunology"	11
"lipid metabolism/drug effects"	11
"macrophages/drug effects"	11
"melanoma/genetics"	11
"nivolumab/therapeutic use"	11
"rna interference"	11
"SLC3A2"	11
"SLC7A11"	11
"SLC9A1"	11
"sulfasalazine/administration & dosage"	11
"antioxidants/pharmacology"	12
"biopterin/analogs & derivatives"	12
"carbolines/pharmacology"	12
"cell proliferation/drug effects"	12
"cell survival/drug effects"	12
"cystine/antagonists & inhibitors"	12
"dose-response relationship drug"	12
"folic acid antagonists/pharmacology"	12
"gene expression"	12
"glutathione"	12
"inflammation mediators/antagonists & inhibitors"	12
"iron/blood"	12
"jurkat cells"	12
"kidney"	12
"lipopolysaccharides/toxicity"	12
"liver/pathology"	12
"malondialdehyde/blood"	12
"methotrexate/pharmacology"	12
"microglia/drug effects"	12
"nf-e2-related factor 2/biosynthesis"	12
"oxidative stress"	12
"phospholipid hydroperoxide glutathione peroxidase"	12
"phospholipid hydroperoxide glutathione peroxidase/antagonists & inhibitors"	12
"piperazines/pharmacology"	12
"raw 264.7 cells"	12
"spleen/pathology"	12
"tetrahydrofolate dehydrogenase/genetics"	12
"vitamin e/pharmacology"	12
"ARG1"	13
"ASAH2"	13
"asparaginase"	13
"chemokine cxcl12/metabolism"	13
"cisplatin"	13
"colonic neoplasms/drug therapy"	13
"DDX53"	13
"diterpenes/pharmacology"	13
"epoxy compounds/pharmacology"	13
"ferritins/blood"	13
"genetic variation"	13
"heme oxygenase-1/metabolism"	13
"hemeproteins/toxicity"	13
"HMOX1"	13
"ht29 cells"	13
"killer cells natural/metabolism"	13
"listeriosis/etiology"	13
"liver x receptors/agonists"	13
"lymphocytes tumor-infiltrating/immunology"	13
"lymphoma t-cell"	13
"malaria/genetics"	13
"membrane proteins/metabolism"	13
"MRC1"	13
"myeloid-derived suppressor cells/immunology"	13
"neutral ceramidase/antagonists & inhibitors"	13
"nf-kappa b/metabolism"	13
"phenanthrenes/pharmacology"	13
"t-lymphocytes/immunology"	13
"TF"	13
"TP53"	13
"transferrin/metabolism"	13
"tumor suppressor protein p53/genetics"	13
"tumor suppressor protein p53/metabolism"	13
"aspirin/administration & dosage"	14
"BIRC5"	14
"cell cycle/drug effects"	14
"cyclin b1/metabolism"	14
"gene expression regulation"	14
"glucose/metabolism"	14
"IL4"	14
"interleukin-10/metabolism"	14
"interleukin-4/metabolism"	14
"lactic acid/metabolism"	14
"lymphoma t-cell/drug therapy"	14
"nitric oxide/metabolism"	14
"SOCS5"	14
"bacterial toxins/metabolism"	15
"cells cultured"	15
"endothelial cells/metabolism"	15
"FTH1"	15
"heart ventricles/diagnostic imaging"	15
"hemodynamics/drug effects"	15
"HMGB1"	15
"hmgb1 protein/metabolism"	15
"hypertension pulmonary/chemically induced"	15
"inflammasomes/metabolism"	15
"inflammation/metabolism"	15
"lung/blood supply"	15
"macrophages/metabolism"	15
"monocrotaline/toxicity"	15
"nlr family pyrin domain-containing 3 protein/metabolism"	15
"NLRP3"	15
"NOX4"	15
"toll-like receptor 4/metabolism"	15
"basic-leucine zipper transcription factors/analysis"	16
"drug resistance neoplasm"	16
"GGT1"	16
"HLF"	16
"IL6"	16
"JAK2"	16
"STAT3"	16
"TGFB1"	16
"triple negative breast neoplasms/drug therapy"	16
"tumor-associated macrophages/drug effects"	16
"biomarkers tumor"	17
"carcinoma pancreatic ductal/metabolism"	17
"cell transformation neoplastic/genetics"	17
"diet"	17
"dna"	17
"KDM8"	17
"macrophages"	17
"membrane proteins/genetics"	17
"pancreas/metabolism"	17
"pancreatitis/genetics"	17
"phospholipid hydroperoxide glutathione peroxidase/genetics"	17
"proto-oncogene proteins p21(ras)/metabolism"	17
"quinoxalines/pharmacology"	17
"spiro compounds/pharmacology"	17
"STING1"	17
"tumor microenvironment"	17
