PMID	kw1	kw2	link	link_explicit	QuerySet
37060026	ACSL4	cation transport proteins	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/37060026/"", ""37060026"")"	https://pubmed.ncbi.nlm.nih.gov/37060026	pmid-ferroptosi-set.txt
35855531	ACSL4	cd4-positive t-lymphocytes	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35855531/"", ""35855531"")"	https://pubmed.ncbi.nlm.nih.gov/35855531	pmid-ferroptosi-set.txt
35855531	ACSL4	cd8-positive t-lymphocytes	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35855531/"", ""35855531"")"	https://pubmed.ncbi.nlm.nih.gov/35855531	pmid-ferroptosi-set.txt
33121683	ACSL4	chemical and drug induced liver injury/etiology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33121683/"", ""33121683"")"	https://pubmed.ncbi.nlm.nih.gov/33121683	pmid-ferroptosi-set.txt
34482070	ACSL4	coenzyme a ligases/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34482070/"", ""34482070"")"	https://pubmed.ncbi.nlm.nih.gov/34482070	pmid-ferroptosi-set.txt
37060026	ACSL4	cyclooxygenase 2	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/37060026/"", ""37060026"")"	https://pubmed.ncbi.nlm.nih.gov/37060026	pmid-ferroptosi-set.txt
37060026	ACSL4	ethanol	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/37060026/"", ""37060026"")"	https://pubmed.ncbi.nlm.nih.gov/37060026	pmid-ferroptosi-set.txt
33121683	ACSL4	glutathione/therapeutic use	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33121683/"", ""33121683"")"	https://pubmed.ncbi.nlm.nih.gov/33121683	pmid-ferroptosi-set.txt
33121683	ACSL4	iron/administration & dosage	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33121683/"", ""33121683"")"	https://pubmed.ncbi.nlm.nih.gov/33121683	pmid-ferroptosi-set.txt
33121683	ACSL4	isoniazid/administration & dosage	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33121683/"", ""33121683"")"	https://pubmed.ncbi.nlm.nih.gov/33121683	pmid-ferroptosi-set.txt
33121683	ACSL4	liver/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33121683/"", ""33121683"")"	https://pubmed.ncbi.nlm.nih.gov/33121683	pmid-ferroptosi-set.txt
34229160	ACSL4	phospholipid hydroperoxide glutathione peroxidase	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34229160/"", ""34229160"")"	https://pubmed.ncbi.nlm.nih.gov/34229160	pmid-ferroptosi-set.txt
33121683	ACSL4	rifampin/administration & dosage	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33121683/"", ""33121683"")"	https://pubmed.ncbi.nlm.nih.gov/33121683	pmid-ferroptosi-set.txt
35173188	ADAMTS9-AS1	MIR6516	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35173188/"", ""35173188"")"	https://pubmed.ncbi.nlm.nih.gov/35173188	pmid-ferroptosi-set.txt
35173188	ADAMTS9-AS1	adamts9 protein/physiology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35173188/"", ""35173188"")"	https://pubmed.ncbi.nlm.nih.gov/35173188	pmid-ferroptosi-set.txt
35173188	ADAMTS9-AS1	cell movement/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35173188/"", ""35173188"")"	https://pubmed.ncbi.nlm.nih.gov/35173188	pmid-ferroptosi-set.txt
35173188	ADAMTS9-AS1	cell proliferation/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35173188/"", ""35173188"")"	https://pubmed.ncbi.nlm.nih.gov/35173188	pmid-ferroptosi-set.txt
35173188	ADAMTS9-AS1	cells cultured	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35173188/"", ""35173188"")"	https://pubmed.ncbi.nlm.nih.gov/35173188	pmid-ferroptosi-set.txt
35173188	ADAMTS9-AS1	endometriosis/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35173188/"", ""35173188"")"	https://pubmed.ncbi.nlm.nih.gov/35173188	pmid-ferroptosi-set.txt
35173188	ADAMTS9-AS1	endometrium/cytology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35173188/"", ""35173188"")"	https://pubmed.ncbi.nlm.nih.gov/35173188	pmid-ferroptosi-set.txt
35173188	ADAMTS9-AS1	ferroptosis/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35173188/"", ""35173188"")"	https://pubmed.ncbi.nlm.nih.gov/35173188	pmid-ferroptosi-set.txt
35173188	ADAMTS9-AS1	gene expression/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35173188/"", ""35173188"")"	https://pubmed.ncbi.nlm.nih.gov/35173188	pmid-ferroptosi-set.txt
35173188	ADAMTS9-AS1	micrornas/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35173188/"", ""35173188"")"	https://pubmed.ncbi.nlm.nih.gov/35173188	pmid-ferroptosi-set.txt
35173188	ADAMTS9-AS1	phospholipid hydroperoxide glutathione peroxidase/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35173188/"", ""35173188"")"	https://pubmed.ncbi.nlm.nih.gov/35173188	pmid-ferroptosi-set.txt
35173188	ADAMTS9-AS1	rna long noncoding/physiology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35173188/"", ""35173188"")"	https://pubmed.ncbi.nlm.nih.gov/35173188	pmid-ferroptosi-set.txt
35173188	ADAMTS9-AS1	stromal cells/physiology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35173188/"", ""35173188"")"	https://pubmed.ncbi.nlm.nih.gov/35173188	pmid-ferroptosi-set.txt
31907052	ATF4	EIF2S1	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/31907052/"", ""31907052"")"	https://pubmed.ncbi.nlm.nih.gov/31907052	pmid-ferroptosi-set.txt
33615565	ATF4	GABPA	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33615565/"", ""33615565"")"	https://pubmed.ncbi.nlm.nih.gov/33615565	pmid-ferroptosi-set.txt
31907052	ATF4	NFE2L2	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/31907052/"", ""31907052"")"	https://pubmed.ncbi.nlm.nih.gov/31907052	pmid-ferroptosi-set.txt
33615565	ATF4	NFE2L2	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33615565/"", ""33615565"")"	https://pubmed.ncbi.nlm.nih.gov/33615565	pmid-ferroptosi-set.txt
33615565	ATF4	activating transcription factor 4/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33615565/"", ""33615565"")"	https://pubmed.ncbi.nlm.nih.gov/33615565	pmid-ferroptosi-set.txt
31907052	ATF4	activating transcription factor 4/metabolism	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/31907052/"", ""31907052"")"	https://pubmed.ncbi.nlm.nih.gov/31907052	pmid-ferroptosi-set.txt
33615565	ATF4	apoptosis/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33615565/"", ""33615565"")"	https://pubmed.ncbi.nlm.nih.gov/33615565	pmid-ferroptosi-set.txt
33615565	ATF4	cell proliferation/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33615565/"", ""33615565"")"	https://pubmed.ncbi.nlm.nih.gov/33615565	pmid-ferroptosi-set.txt
33615565	ATF4	cysteine/antagonists & inhibitors	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33615565/"", ""33615565"")"	https://pubmed.ncbi.nlm.nih.gov/33615565	pmid-ferroptosi-set.txt
31907052	ATF4	endocytosis/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/31907052/"", ""31907052"")"	https://pubmed.ncbi.nlm.nih.gov/31907052	pmid-ferroptosi-set.txt
33615565	ATF4	ferroptosis/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33615565/"", ""33615565"")"	https://pubmed.ncbi.nlm.nih.gov/33615565	pmid-ferroptosi-set.txt
33615565	ATF4	gene expression regulation neoplastic/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33615565/"", ""33615565"")"	https://pubmed.ncbi.nlm.nih.gov/33615565	pmid-ferroptosi-set.txt
31907052	ATF4	homeostasis/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/31907052/"", ""31907052"")"	https://pubmed.ncbi.nlm.nih.gov/31907052	pmid-ferroptosi-set.txt
33615565	ATF4	homocysteine/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33615565/"", ""33615565"")"	https://pubmed.ncbi.nlm.nih.gov/33615565	pmid-ferroptosi-set.txt
31907052	ATF4	lipids/toxicity	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/31907052/"", ""31907052"")"	https://pubmed.ncbi.nlm.nih.gov/31907052	pmid-ferroptosi-set.txt
31907052	ATF4	lysosomes/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/31907052/"", ""31907052"")"	https://pubmed.ncbi.nlm.nih.gov/31907052	pmid-ferroptosi-set.txt
33615565	ATF4	melanoma/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33615565/"", ""33615565"")"	https://pubmed.ncbi.nlm.nih.gov/33615565	pmid-ferroptosi-set.txt
33615565	ATF4	methionine/antagonists & inhibitors	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33615565/"", ""33615565"")"	https://pubmed.ncbi.nlm.nih.gov/33615565	pmid-ferroptosi-set.txt
33615565	ATF4	nf-e2-related factor 2/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33615565/"", ""33615565"")"	https://pubmed.ncbi.nlm.nih.gov/33615565	pmid-ferroptosi-set.txt
31907052	ATF4	nf-e2-related factor 2/metabolism	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/31907052/"", ""31907052"")"	https://pubmed.ncbi.nlm.nih.gov/31907052	pmid-ferroptosi-set.txt
31907052	ATF4	stress physiological/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/31907052/"", ""31907052"")"	https://pubmed.ncbi.nlm.nih.gov/31907052	pmid-ferroptosi-set.txt
33631189	BLVRB	antineoplastic agents/administration & dosage	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33631189/"", ""33631189"")"	https://pubmed.ncbi.nlm.nih.gov/33631189	pmid-ferroptosi-set.txt
33631189	BLVRB	apoptosis/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33631189/"", ""33631189"")"	https://pubmed.ncbi.nlm.nih.gov/33631189	pmid-ferroptosi-set.txt
33631189	BLVRB	cerebrovascular disorders/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33631189/"", ""33631189"")"	https://pubmed.ncbi.nlm.nih.gov/33631189	pmid-ferroptosi-set.txt
33631189	BLVRB	neuroprotective agents/administration & dosage	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33631189/"", ""33631189"")"	https://pubmed.ncbi.nlm.nih.gov/33631189	pmid-ferroptosi-set.txt
33631189	BLVRB	reactive oxygen species/antagonists & inhibitors	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33631189/"", ""33631189"")"	https://pubmed.ncbi.nlm.nih.gov/33631189	pmid-ferroptosi-set.txt
32686685	CALR	ascorbic acid/pharmacology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32686685/"", ""32686685"")"	https://pubmed.ncbi.nlm.nih.gov/32686685	pmid-ferroptosi-set.txt
32686685	CALR	calreticulin/metabolism	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32686685/"", ""32686685"")"	https://pubmed.ncbi.nlm.nih.gov/32686685	pmid-ferroptosi-set.txt
32686685	CALR	ferric compounds/chemistry	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32686685/"", ""32686685"")"	https://pubmed.ncbi.nlm.nih.gov/32686685	pmid-ferroptosi-set.txt
32686685	CALR	neoplasms/diagnostic imaging	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32686685/"", ""32686685"")"	https://pubmed.ncbi.nlm.nih.gov/32686685	pmid-ferroptosi-set.txt
32686685	CALR	oxidative stress	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32686685/"", ""32686685"")"	https://pubmed.ncbi.nlm.nih.gov/32686685	pmid-ferroptosi-set.txt
32686685	CALR	t-lymphocytes cytotoxic/metabolism	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32686685/"", ""32686685"")"	https://pubmed.ncbi.nlm.nih.gov/32686685	pmid-ferroptosi-set.txt
30635474	CASP3	FXN	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/30635474/"", ""30635474"")"	https://pubmed.ncbi.nlm.nih.gov/30635474	pmid-ferroptosi-set.txt
30635474	CASP3	GAA	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/30635474/"", ""30635474"")"	https://pubmed.ncbi.nlm.nih.gov/30635474	pmid-ferroptosi-set.txt
30635474	CASP3	cell line	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/30635474/"", ""30635474"")"	https://pubmed.ncbi.nlm.nih.gov/30635474	pmid-ferroptosi-set.txt
30635474	CASP3	friedreich ataxia/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/30635474/"", ""30635474"")"	https://pubmed.ncbi.nlm.nih.gov/30635474	pmid-ferroptosi-set.txt
30635474	CASP3	glutathione/biosynthesis	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/30635474/"", ""30635474"")"	https://pubmed.ncbi.nlm.nih.gov/30635474	pmid-ferroptosi-set.txt
30635474	CASP3	iron-binding proteins/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/30635474/"", ""30635474"")"	https://pubmed.ncbi.nlm.nih.gov/30635474	pmid-ferroptosi-set.txt
30635474	CASP3	iron/metabolism	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/30635474/"", ""30635474"")"	https://pubmed.ncbi.nlm.nih.gov/30635474	pmid-ferroptosi-set.txt
30635474	CASP3	mitochondria/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/30635474/"", ""30635474"")"	https://pubmed.ncbi.nlm.nih.gov/30635474	pmid-ferroptosi-set.txt
30635474	CASP3	oxidative stress/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/30635474/"", ""30635474"")"	https://pubmed.ncbi.nlm.nih.gov/30635474	pmid-ferroptosi-set.txt
30635474	CASP3	piperazines/pharmacology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/30635474/"", ""30635474"")"	https://pubmed.ncbi.nlm.nih.gov/30635474	pmid-ferroptosi-set.txt
32835374	CASP9	CTNNB1	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32835374/"", ""32835374"")"	https://pubmed.ncbi.nlm.nih.gov/32835374	pmid-ferroptosi-set.txt
32835374	CASP9	GCLC	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32835374/"", ""32835374"")"	https://pubmed.ncbi.nlm.nih.gov/32835374	pmid-ferroptosi-set.txt
32835374	CASP9	GCLM	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32835374/"", ""32835374"")"	https://pubmed.ncbi.nlm.nih.gov/32835374	pmid-ferroptosi-set.txt
32835374	CASP9	HMOX1	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32835374/"", ""32835374"")"	https://pubmed.ncbi.nlm.nih.gov/32835374	pmid-ferroptosi-set.txt
32835374	CASP9	TCF7L2	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32835374/"", ""32835374"")"	https://pubmed.ncbi.nlm.nih.gov/32835374	pmid-ferroptosi-set.txt
32835374	CASP9	antimetabolites antineoplastic/pharmacology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32835374/"", ""32835374"")"	https://pubmed.ncbi.nlm.nih.gov/32835374	pmid-ferroptosi-set.txt
32835374	CASP9	beta catenin/antagonists & inhibitors	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32835374/"", ""32835374"")"	https://pubmed.ncbi.nlm.nih.gov/32835374	pmid-ferroptosi-set.txt
32835374	CASP9	colorectal neoplasms/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32835374/"", ""32835374"")"	https://pubmed.ncbi.nlm.nih.gov/32835374	pmid-ferroptosi-set.txt
32835374	CASP9	drug resistance neoplasm/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32835374/"", ""32835374"")"	https://pubmed.ncbi.nlm.nih.gov/32835374	pmid-ferroptosi-set.txt
32835374	CASP9	fluorouracil/pharmacology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32835374/"", ""32835374"")"	https://pubmed.ncbi.nlm.nih.gov/32835374	pmid-ferroptosi-set.txt
32835374	CASP9	plant extracts/pharmacology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32835374/"", ""32835374"")"	https://pubmed.ncbi.nlm.nih.gov/32835374	pmid-ferroptosi-set.txt
34673014	CBR1	FTH1	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34673014/"", ""34673014"")"	https://pubmed.ncbi.nlm.nih.gov/34673014	pmid-ferroptosi-set.txt
34673014	CBR1	alcohol oxidoreductases/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34673014/"", ""34673014"")"	https://pubmed.ncbi.nlm.nih.gov/34673014	pmid-ferroptosi-set.txt
34673014	CBR1	antineoplastic agents	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34673014/"", ""34673014"")"	https://pubmed.ncbi.nlm.nih.gov/34673014	pmid-ferroptosi-set.txt
34673014	CBR1	autophagy/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34673014/"", ""34673014"")"	https://pubmed.ncbi.nlm.nih.gov/34673014	pmid-ferroptosi-set.txt
34673014	CBR1	cytosol/metabolism	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34673014/"", ""34673014"")"	https://pubmed.ncbi.nlm.nih.gov/34673014	pmid-ferroptosi-set.txt
34673014	CBR1	deoxycytidine/analogs & derivatives	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34673014/"", ""34673014"")"	https://pubmed.ncbi.nlm.nih.gov/34673014	pmid-ferroptosi-set.txt
34673014	CBR1	drug resistance neoplasm	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34673014/"", ""34673014"")"	https://pubmed.ncbi.nlm.nih.gov/34673014	pmid-ferroptosi-set.txt
34673014	CBR1	flavonoids/pharmacology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34673014/"", ""34673014"")"	https://pubmed.ncbi.nlm.nih.gov/34673014	pmid-ferroptosi-set.txt
34673014	CBR1	gene expression regulation neoplastic/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34673014/"", ""34673014"")"	https://pubmed.ncbi.nlm.nih.gov/34673014	pmid-ferroptosi-set.txt
34673014	CBR1	oxidative stress	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34673014/"", ""34673014"")"	https://pubmed.ncbi.nlm.nih.gov/34673014	pmid-ferroptosi-set.txt
34673014	CBR1	pancreatic neoplasms	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34673014/"", ""34673014"")"	https://pubmed.ncbi.nlm.nih.gov/34673014	pmid-ferroptosi-set.txt
34673014	CBR1	reactive oxygen species	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34673014/"", ""34673014"")"	https://pubmed.ncbi.nlm.nih.gov/34673014	pmid-ferroptosi-set.txt
35953837	CD274	IDO1	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35953837/"", ""35953837"")"	https://pubmed.ncbi.nlm.nih.gov/35953837	pmid-ferroptosi-set.txt
35351131	CD274	IFNG	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35351131/"", ""35351131"")"	https://pubmed.ncbi.nlm.nih.gov/35351131	pmid-ferroptosi-set.txt
35953837	CD274	NOC2L	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35953837/"", ""35953837"")"	https://pubmed.ncbi.nlm.nih.gov/35953837	pmid-ferroptosi-set.txt
35351131	CD274	PDCD1	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35351131/"", ""35351131"")"	https://pubmed.ncbi.nlm.nih.gov/35351131	pmid-ferroptosi-set.txt
34593794	CD274	aniline compounds/pharmacology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34593794/"", ""34593794"")"	https://pubmed.ncbi.nlm.nih.gov/34593794	pmid-ferroptosi-set.txt
34593794	CD274	b7-h1 antigen/antagonists & inhibitors	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34593794/"", ""34593794"")"	https://pubmed.ncbi.nlm.nih.gov/34593794	pmid-ferroptosi-set.txt
34473493	CD274	b7-h1 antigen/metabolism	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34473493/"", ""34473493"")"	https://pubmed.ncbi.nlm.nih.gov/34473493	pmid-ferroptosi-set.txt
34593794	CD274	benzylidene compounds/pharmacology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34593794/"", ""34593794"")"	https://pubmed.ncbi.nlm.nih.gov/34593794	pmid-ferroptosi-set.txt
35953837	CD274	cd8-positive t-lymphocytes/metabolism	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35953837/"", ""35953837"")"	https://pubmed.ncbi.nlm.nih.gov/35953837	pmid-ferroptosi-set.txt
34593794	CD274	cell line tumor/transplantation	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34593794/"", ""34593794"")"	https://pubmed.ncbi.nlm.nih.gov/34593794	pmid-ferroptosi-set.txt
35953837	CD274	chlorophyll	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35953837/"", ""35953837"")"	https://pubmed.ncbi.nlm.nih.gov/35953837	pmid-ferroptosi-set.txt
34593794	CD274	exosomes/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34593794/"", ""34593794"")"	https://pubmed.ncbi.nlm.nih.gov/34593794	pmid-ferroptosi-set.txt
35953837	CD274	ferric compounds	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35953837/"", ""35953837"")"	https://pubmed.ncbi.nlm.nih.gov/35953837	pmid-ferroptosi-set.txt
35351131	CD274	glioblastoma/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35351131/"", ""35351131"")"	https://pubmed.ncbi.nlm.nih.gov/35351131	pmid-ferroptosi-set.txt
