human_genes	mouse_genes
SYNDIG1L	Syndig1l
MIR541	Mir541
MIR409	mmu-mir-409
MIR412	Mir412
MIR410	Mir410
NUBPL	Nubpl
NPC2	Npc2
ISCA2	Isca2
TRGC2	Trgc1
TRGC1	Trgc1
TRGC2	Trgv3
TRGC1	Trgv3
ARHGAP5	Arhgap5
IFITM1	Ifitm7
KRTAP8-1	Krtap8-1
KRTAP7-1	Krtap7-1
TRGC2	Trgc3
TRGC1	Trgc3
KRTAP11-1	Krtap11-1
TRGC2	Trgc2
TRGC1	Trgc2
BMERB1	Bmerb1
CNTNAP3	Cntnap3
CNTNAP3C	Cntnap3
CNTNAP3B	Cntnap3
DIO3	Dio3
RABL3	Rabl3
TRGC2	Trgv2
TRGC1	Trgv2
RNU6-8	U6
RNU6-7	U6
AKAP6	Akap6
TRGC2	Trgv1
TRGC1	Trgv1
ALDH7A1	Aldh7a1
HGD	Hgd
NPAS3	Npas3
TRGV1	Trgc4
TRGV5	Trgc4
TRGV3	Trgc4
TRGV4	Trgc4
TRGV8	Trgc4
TRGV2	Trgc4
FAM169A	Fam169a
NDUFB4	Ndufb4
MARF1	Marf1
EGLN3	Egln3
RNU1-29P	Gm22220
PLP2	Gm6169
SPATA31D1	Spata31d1c
SPATA31D3	Spata31d1c
SPATA31D4	Spata31d1c
SPTSSA	Sptssa
NSA2	Nsa2
MIR484	Mir484
FSTL1	Fstl1
LTBP2	Ltbp2
STARD3NL	Stard3nl
BTN3A1	Gm36028
LRRC58	Lrrc58
GPR156	Gpr156
PHAX	Phax
GSK3B	Gsk3b
TEX43	Tex43
MFSD14B	Mfsd14b
LMNB1	Lmnb1
NR1I2	Nr1i2
MARCHF3	Marchf3
OR14I1	Olfr465-ps1
OR9H1P	Olfr466
EPDR1	Epdr1
NDE1	Nde1
TFAP2A	Tfap2a
EAPP	Eapp
KLF9	Klf9
RBM14	Rbm14
HABP2	Habp2
C5orf63	C330018D20Rik
RNU1-30P	U1
PPP2R5C	Ppp2r5c
SFRP4	Sfrp4
TIAM1	Tiam1
NLRP4	Nlrp4f
URAD	Ttr
CCS	Ccs
MEGF10	Megf10
GCNT2	Gcnt2
CCDC87	Ccdc87
CTSF	Ctsf
ZNF274	Zfp369
PRRC1	Prrc1
CFAP91	Cfap91
SNX6	Snx6
ACTN3	Actn3
CTXN3	Ctxn3
NME8	Nme8
COX17	Cox17
COX17	Gm21987
SMC5	Smc5
SOD1	Sod1
POPDC2	Popdc2
AREL1	Arel1
PLA1A	Pla1a
PAK1IP1	Pak1ip1
ADPRH	Adprh
CD80	Cd80
RNU1-93P	U1
CCDC192	Ccdc192
RNF125	Rnf125
TIMMDC1	Timmdc1
TMEM14C	Tmem14c
POGLUT1	Poglut1
RNU6-449P	Gm26038
GPR141	Gpr141
SLC12A2	Slc12a2
DYNC1H1	Dync1h1
SCAF4	Scaf4
ELMO1	Elmo1
RNU6-806P	U6
ZDHHC24	Zdhhc24
RNF138	Rnf138
MAMDC2	Mamdc2
MEP1B	Mep1b
C9orf135	1700028P14Rik
CFL2	Cfl2
PTAR1	Ptar1
GAREM1	Garem1
AOAH	Aoah
BBS1	Bbs1
HUNK	Hunk
FBN2	Fbn2
MIS18A	Mis18a
BAZ1A	Baz1a
MRAP	Mrap
UQCRB	Uqcrb
RNU6-253P	U6
RNU6-131P	U6
APBA1	Apba1
TMEM39A	Tmem39a
RAMAC	Gm10767
RAMACL	Gm10767
OR2W1	Olfr1369-ps1
OR2W1	Olfr263
MAK	Mak
FAM189A2	Fam189a2
KLHL14	Klhl14
DPP3	Dpp3
SLC27A6	Slc27a6
ISOC1	Isoc1
URB1	Urb1
ADAMTS19	Adamts19
CCDC178	Ccdc178
TRIM27	Trim27
LPIN1	Lpin1
TJP2	Tjp2
MYH11	Myh11
GFM2	Gfm2
MINAR2	Minar2
CHSY3	Chsy3
RN7SKP260	7SK
PELI3	Peli3
ASXL3	Asxl3
FXN	Fxn
MRPL11	Mrpl11
SMIM3	Smim3
DCTN4	Dctn4
NPAS4	Npas4
PIP5K1B	Pip5k1b
NOL4	Nol4
ARHGAP31	Arhgap31
PABIR1	Fam122a
TMEM252	Tmem252
PGM5	Pgm5
GCM2	Gcm2
CEP20	Cep20
MTERF3	Mterf3
CYCS	Gm10053
FOXD4L5	Foxd4
FOXD4L3	Foxd4
FOXD4	Foxd4
FOXD4L6	Foxd4
FOXD4L4	Foxd4
FOXD4L1	Foxd4
B4GALT4	B4galt4
RBM22	Rbm22
NRAP	Nrap
WDR20	Wdr20
NTSR2	Ntsr2
MYOZ3	Myoz3
SYNPO	Synpo
EVA1C	Eva1c
GPX6	Gpx6
YLPM1	Ylpm1
SYCP2L	Sycp2l
NDST1	Ndst1
HEXB	Hexb
RPS14	Rps14
UPK1B	Upk1b
ZSCAN12	Zscan12
ENC1	Enc1
MOK	Mok
CFAP298-TCP10L	Cfap298
CFAP298	Cfap298
PTDSS1	Ptdss1
DTNA	Dtna
SRP54	Srp54a
IGSF11	Igsf11
ELOVL2	Elovl2
RNU6-1174P	Gm22500
LSAMP	Lsamp
FAM177A1	Fam177a
PROX2	Prox2
ZNF845	Zfp712
SMIM13	Smim13
RNU6-1096P	Gm22543
ZNF839	Zfp839
RPS18	Rps18-ps6
ABCC1	Abcc1
SRP54	Srp54b
ZKSCAN4	Zkscan3
CCDC134	Ccdc134
CD74	Cd74
FAM177A1	Fam177a2
MROH2B	Mroh2b
SLC29A2	Slc29a2
CINP	Cinp
NEDD9	Nedd9
MAPRE2	Mapre2
PGBD1	Pgbd1
GAP43	Gap43
DLST	Dlst
B4GAT1	B4gat1
CBWD6	Cbwd1
CBWD3	Cbwd1
CBWD5	Cbwd1
ZNF845	Zfp759
SNAI2	Snai2
C7	C7
EFCAB1	Efcab1
CARD6	Card6
ZSCAN26	Zscan26
RPL37	Rpl37
TMEM170B	Tmem170b
B4GAT1	Gm50388
ZNF397	Zfp397
NKAPL	Nkapl
SNORD72	Snord72
CASP7	Casp7
PRKAA1	Prkaa1
ZNF24	Zfp24
BRMS1	Brms1
SRP54	Srp54c
ZKSCAN4	Zkscan4
SYNJ1	Synj1
INO80C	Ino80c
ISCA1	AK157302
SREBF2	Srebf2
COX5B	Cox5b-ps
ZNF845	Zfp458
DOCK8	Dock8
GREB1	Greb1
TCOF1	Tcof1
ZNF678	Zfp457
ZNF736	Zfp457
ZNF695	Zfp457
ZNF682	Zfp457
ZNF738	Zfp457
ZNF727	Zfp457
ZNF85	Zfp457
ZKSCAN8	Zkscan8
ZNF678	Zfp595
ZNF736	Zfp595
ZNF695	Zfp595
ZNF682	Zfp595
ZNF738	Zfp595
ZNF727	Zfp595
ZNF85	Zfp595
MTBP	Mtbp
ZNF257	Gm28044
ZNF680	Gm28044
ZNF723	Gm28044
ZNF92	Gm28044
ZNF273	Gm28044
RIN1	Rin1
ADTRP	Adtrp
UBE2V2	Ube2v2
CD248	Cd248
TMEM151A	Tmem151a
PPP2R3C	Ppp2r3c
MCM4	Mcm4
KANK1	Kank1
SLC16A2	Slc16a2
ZNF678	Zfp953
ZNF736	Zfp953
ZNF695	Zfp953
ZNF682	Zfp953
ZNF738	Zfp953
ZNF727	Zfp953
ZNF85	Zfp953
OR2B6	Olfr11
RPS6KL1	Rps6kl1
ZNF257	Gm28041
ZNF680	Gm28041
ZNF723	Gm28041
ZNF92	Gm28041
ZNF273	Gm28041
SYCP3	Gm10488
PLEKHS1	Plekhs1
ARSI	Arsi
GALNT1	Galnt1
PAXBP1	Paxbp1
E2F6	E2f6
H2AC8	H2ac13
HIVEP1	Hivep1
SYCP3	Gm14632
PGF	Pgf
MIR33A	Mir33
SHISA8	Shisa8
H2BC5	H2bc14
SNTB1	Sntb1
EDN1	Edn1
TECPR2	Tecpr2
H4C5	H4c12
RNU6-401P	Gm26207
H2AC8	H2ac15
DMRT1	Dmrt1
HTR2C	Htr2c
TTC33	Ttc33
MIR187	Mir187
C18orf21	2700062C07Rik
DMRT3	Dmrt3
DCLRE1A	Dclre1a
H1-5	H1f5
C21orf62	4932438H23Rik
H3C8	H3c11
RPRD1A	Rprd1a
ZNF845	Zfp459
RLIM	Rlim
OLIG2	Olig2
TNFRSF13C	Tnfrsf13c
OLIG1	Olig1
SLC39A6	Slc39a6
DMRT2	Dmrt2
HAS2	Has2
ZBTB20	Zbtb20
SNORA35	Snora35
EIF2B2	Eif2b2
YIF1A	Yif1a
CAMK2A	Camk2a
SNORA17A	Gm22266
MIR448	Mir448
SYCP3	Gm10487
PRORP	Prorp
NHLRC2	Nhlrc2
ARHGEF28	Arhgef28
NEXMIF	Nexmif
ADRB1	Adrb1
CNIH2	Cnih2
PTGER4	Ptger4
CCDC186	Ccdc186
ANKRD9	Ankrd9
IL13RA2	Il13ra2
RAB1B	Rab1b
PSMA6	Psma6
SLC6A7	Slc6a7
TIGIT	Tigit
RCOR1	Rcor1
PRKDC	Prkdc
CDX1	Cdx1
KLC2	Klc2
ELP2	Elp2
VN1R5	Vmn1r239-ps
ABCB7	Abcb7
MLH3	Mlh3
CENPM	Cenpm
UPRT	Uprt
PACS1	Pacs1
ZHX2	Zhx2
NFKBIA	Nfkbia
DERL1	Derl1
ALDOA	Aldoart2
INSM2	Insm2
MOCOS	Mocos
ZDHHC15	Zdhhc15
POM121L2	Pom121l2
ROCK2	Rock2
PRSS16	Prss16
PDGFRB	Pdgfrb
MIR148B	Mir148b
MAGEE2	Magee2
RNU6-412P	Gm22090
SF3B2	Sf3b2
ZNF257	Gm26965
ZNF680	Gm26965
ZNF723	Gm26965
ZNF92	Gm26965
ZNF273	Gm26965
AGRP	Agrp
DRD3	Drd3
TBC1D31	Tbc1d31
UTP15	Utp15
RIPOR1	Ripor1
MZT2A	Mzt2
MZT2B	Mzt2
CEBPD	Cebpd
MIR105-1	Mir105
MIR105-2	Mir105
RNU6-252P	U6
SYCP3	Gm10486
QTRT2	Qtrt2
CSF1R	Csf1r
GAL3ST3	Gal3st3
CATSPER1	Catsper1
CTCF	Ctcf
CST6	Cst6
ZC2HC1C	Zc2hc1c
ZNF845	Zfp748
IFNAR2	Ifnar2
NEK9	Nek9
NR3C2	Nr3c2
TDRD1	Tdrd1
HMGXB3	Hmgxb3
ZNF845	Zfp729b
PSPC1	Pspc1
TRAF3	Traf3
ZNF678	Gm49345
ZNF736	Gm49345
ZNF695	Gm49345
ZNF682	Gm49345
ZNF738	Gm49345
ZNF727	Gm49345
ZNF85	Gm49345
ZNF845	Zfp729a
SEPTIN3	Septin3
CARMIL2	Carmil2
DACH1	Dach1
PHACTR1	Phactr1
SYCP3	Gm14819
RNU6-1088P	Gm26403
RNU6-793P	Gm26403
SLC26A2	Slc26a2
TMED10	Tmed10
SPIDR	Spidr
FHOD3	Fhod3
SLC66A3	Pqlc3
PCM1	Pcm1
S1PR1	S1pr1
CETN2	Cetn2
RNU2-25P	Gm22073
MRPL47	Mrpl47
LRCH2	Lrch2
RNU6-937P	U6
RNU6-268P	U6
AMN	Amn
ZMYM5	Zmym5
IL10RB	Gm21970
IL12A	Il12a
PKP2	Pkp2
WBP2NL	Wbp2nl
KCNF1	Kcnf1
NAGA	Naga
MZT1	Mzt1
FOS	Fos
IL10RB	Il10rb
WDHD1	Wdhd1
C3orf80	1110032F04Rik
ADGRL4	Adgrl4
JDP2	Jdp2
CCDC191	Ccdc191
ZNF678	Zfp738
ZNF736	Zfp738
ZNF695	Zfp738
ZNF682	Zfp738
ZNF738	Zfp738
ZNF727	Zfp738
ZNF85	Zfp738
BATF	Batf
FLVCR2	Flvcr2
DPH5	Dph5
ACD	Acd
SNORA35B	Gm25107
ANKRA2	Ankra2
PBDC1	Pbdc1
PDIA6	Pdia6
PHETA2	Pheta2
EIF1AD	Eif1ad
SMDT1	Smdt1
VWA2	Vwa2
YARS2	Yars2
NDUFB5	Ndufb5
ZDHHC23	Zdhhc23
PDE6A	Pde6a
NSDHL	Nsdhl
CDC42BPB	Cdc42bpb
IFNAR1	Ifnar1
RNU6-855P	Gm24378
ASAH1	Asah1
MAGEE1	Magee1
SART1	Sart1
RN7SKP206	7SK
SOCS4	Socs4
TPGS2	Tpgs2
SLC30A7	Slc30a7
ZMYM2	Zmym2
ZNF200	Zfp65
KRBOX1	Zfp65
IFI44	Ifi44
PPARGC1B	Ppargc1b
FGF16	Fgf16
TSGA10IP	Tsga10ip
IFNGR2	Ifngr2
BORA	Bora
PARD6A	Pard6a
IFI44L	Ifi44l
DRAP1	Drap1
TDRKH	Tdrkh
TMEM50B	Tmem50b
MIR378A	Mir378a
RNU6-21P	Gm25834
ERG28	Erg28
ZNF185	Zfp185
KIAA1328	AW554918
NDUFA6	Ndufa6
GRAMD1C	Gramd1c
EXOC3L4	Exoc3l4
BTF3	Btf3
GJA3	Gja3
MAPK1IP1L	Mapk1ip1l
CYP2D6	Cyp2d22
CYP2D7	Cyp2d22
ENKD1	Enkd1
C11orf68	AI837181
ARHGEF37	Arhgef37
FOSL1	Fosl1
RNU6-1040P	Gm26181
RNU6-969P	Gm26181
GJB2	Gjb2
C16orf86	4933405L10Rik
CCDC85B	Ccdc85b
PTGFR	Ptgfr
AFAP1L2	Afap1l2
GJB6	Gjb6
CYP2D6	Cyp2d11
CYP2D7	Cyp2d11
ARHGAP10	Arhgap10
FOXD1	Foxd1
CRYL1	Cryl1
CELF4	Celf4
USP13	Usp13
ATP6V1C2	Atp6v1c2
PNMA5	Pnma5
SEC61B	Gm10320
PNMA3	Pnma3
DIS3	Dis3
DNAJC28	Dnajc28
TBC1D7	Tbc1d7
ATP6V1A	Atp6v1a
EXTL2	Extl2
FER1L6	Fer1l6
DOCK11	Dock11
LGALS3	Lgals3
SIX2	Six2
ZNF257	Gm10037
ZNF680	Gm10037
ZNF723	Gm10037
ZNF92	Gm10037
ZNF273	Gm10037
RN7SKP224	7SK
CYP2D6	Cyp2d10
CYP2D7	Cyp2d10
DYNLL1	BC048507
ZNF34	Zfp760
TMEM174	Tmem174
TRIML1	Triml1
GFOD1	Gfod1
GIPC2	Gipc2
TMEM171	Tmem171
GFOD2	Gfod2
DAXX	Daxx
IFT88	Ift88
FIBP	Fibp
TRIML2	Triml2
TMEM65	Tmem65
OAZ3	Oaz3
DNM1L	Dnm1l
TNFAIP2	Tnfaip2
RNU1-20P	Gm24041
PRMT9	Prmt9
TRMT12	Trmt12
RN7SKP299	7SK
RN7SKP209	7SK
RNF139	Rnf139
SIRT5	Sirt5
DAB2	Dab2
MRPL9	Mrpl9
CTSW	Ctsw
ZNF34	Zfp820
ZFP42	Zfp42
SRBD1	Srbd1
PIBF1	Pibf1
DNAJB4	Dnajb4
PIK3C3	Pik3c3
RANBP10	Ranbp10
EFEMP2	Efemp2
MTRR	Mtrr
NOL10	Nol10
IFT80	Ift80
ZNF34	Zfp995
IL17D	Il17d
ZNF34	Zfp942
ZMIZ1	Zmiz1
ZNF34	Zfp943
TMEM184C	Tmem184c
ODC1	Odc1
NOL7	Nol7
ZNF34	Zfp947
ZNF34	Zfp994
PRKCE	Prkce
TSNAXIP1	Tsnaxip1
SNORA80B	Gm22748
FASTKD3	Fastkd3
HPCAL1	Hpcal1
IL13RA1	Il13ra1
EDNRA	Ednra
MUS81	Mus81
EEF1AKMT1	Eef1akmt1
RIIAD1	Riiad1
CENPT	Cenpt
NAA50	Naa50
ZNF34	Gm7072
ZNF322	Zfp322a
KLF5	Klf5
RIT2	Rit2
VCAM1	Vcam1
TAPBP	Tapbp
RNU2-68P	Gm22984
RNU2-23P	Gm22984
RNU2-3P	Gm22984
SYT4	Syt4
KLF12	Klf12
USF3	Usf3
CSNK1A1	Csnk1a1
THAP11	Thap11
TTC29	Ttc29
C5orf49	1700001L19Rik
TACR2	Tacr2
ABT1	Abt1
RNU6-578P	Gm23538
EIF5	Eif5
PRR30	Prr30
GART	Gart
C12orf75	1500009L16Rik
BTN1A1	Btn1a1
CFL1	Cfl1
XPO4	Xpo4
ZNF34	Zfp944
GPR88	Gpr88
POU4F2	Pou4f2
ZBTB22	Zbtb22
RBMX	Rbmxl1
SMC4	Smc4
SNX32	Snx32
ARHGEF7	Arhgef7
ARHGAP18	Arhgap18
ADCY2	Adcy2
EPAS1	Epas1
NSMCE3	Nscme3l
NUAK1	Nuak1
OVOL1	Ovol1
PWWP4	Pwwp4a
LATS2	Gm49361
AP5B1	Ap5b1
PWWP4	Pwwp4b
ZNF34	Zfp946
RANBP9	Ranbp9
LATS2	Lats2
LONRF3	Lonrf3
RNASEH2C	Rnaseh2c
CKAP4	Ckap4
TMEM247	Tmem247
CCT2	Cct2
MIR15B	Mir15b
MIR16-2	Mir16-2
TRIM59	Trim59
ATP6V1E2	Atp6v1e2
RHOQ	Rhoq
CDC14A	Cdc14a
RNU6-706P	U6
CYP2D6	Cyp2d9
CYP2D7	Cyp2d9
SMARCA2	Smarca2
SAP18	Sap18
RNU6-144P	Gm26064
PIGF	Pigf
RNU6-853P	Gm22364
KIAA1210	Gm14569
PGRMC1	Pgrmc1
SKA3	Ska3
RGL2	Rgl2
FCHO2	Fcho2
SNORA28	Snora28
TCP11L2	Tcp11l2
DLGAP5	Dlgap5
TATDN1	Tatdn1
ATRX	Atrx
FRS2	Frs2
KPNA4	Kpna4
YEATS4	Yeats4
CRIPT	Cript
POLR3B	Polr3b
SIDT1	Sidt1
NDUFB9	Ndufb9
SOCS5	Socs5
C9	C9
MARK3	Mark3
ARL14	Arl14
RTCA	Rtca
FOXP4	Foxp4
LYZ	9530003J23Rik
LYZ	Lyz2
MCUR1	Mcur1
PPM1L	Ppm1l
LYZ	Lyz1
LAMA2	Lama2
RNF182	Rnf182
CELF3	Celf3
CD83	Cd83
MRPL57	Mrpl57
BTN2A2	Btn2a2
RNU1-108P	Gm22738
RNU1-33P	Gm22738
TBC1D4	Tbc1d4
TEX29	Tex29
RNU2-15P	Gm26020
FAT1	Fat1
SPICE1	Spice1
RN7SKP283	7SK
RNU6-767P	Gm23656
MIR145	Mir145a
MIR143	Mir143
SLC25A46	Slc25a46
H3C3	H3c8
CYP2D6	Cyp2d12
CYP2D7	Cyp2d12
H2BC14	H2bc9
TENT4A	Tent4a
IL17B	Il17b
RALGAPA1	Ralgapa1
SLC25A43	Slc25a43
PCYOX1L	Pcyox1l
CFAP44	Cfap44
TRBV10-1	Trbv13-1
TRBV10-3	Trbv13-1
TRBV10-2	Trbv13-1
GRPEL2	Grpel2
TRBV13	Trbv12-2
SLC25A5	Slc25a5
TRBV10-1	Trbv13-2
TRBV10-3	Trbv13-2
TRBV10-2	Trbv13-2
TRBV10-1	Trbv13-3
TRBV10-3	Trbv13-3
TRBV10-2	Trbv13-3
TRBV11-3	Trbv14
TRBV11-1	Trbv14
TRBV12-4	Trbv15
TRBV12-3	Trbv15
H3C13	H3c7
TRBV15	Trbv17
AFAP1L1	Afap1l1
IL12RB2	Il12rb2
ZNF34	Zfp945
CYP2D6	Cyp2d34
CYP2D7	Cyp2d34
H1-3	H1f3
CPSF6	Cpsf6
SOX1	Sox1
B3GALNT1	B3galnt1
FAM156B	Tmem29
FAM156A	Tmem29
CYP2D6	Cyp2d13
CYP2D7	Cyp2d13
PFDN6	Pfdn6
H2BC7	H2bc8
DBT	Dbt
TRBV19	Trbv19
H2AC4	H2ac7
MTNR1A	Mtnr1a
H3C13	H3c4
SON	Son
TRBV20-1	Trbv20
TRBV20OR9-2	Trbv20
H4C9	H4c4
H2BC8	H2bc6
ZDHHC20	Zdhhc20
FYB1	Fyb
SPACA7	Spaca7
TRBV23-1	Trbv23
H1-4	H1f4
SAP130	Sap130
IL23R	Il23r
LRRC39	Lrrc39
H1-6	H1f6
TRBV23-1	Trbv26
STEEP1	C330007P06Rik
F11	F11
HFE	Hfe
TACSTD2	Tacstd2
TRBV28	Trbv29
CPAMD8	Mug2
PZP	Mug2
NMD3	Nmd3
MCFD2	Mcfd2
H1-2	H1f2
H3C13	H3c3
H2BC3	H2bc3
KLKB1	Klkb1
RFX4	Rfx4
FBXO34	Fbxo34
H3C13	H3c2
H4C15	H4c1
MTSS1	Mtss1
TNPO1	Tnpo1
IGKV2D-30	Igkv2-137
IGKV2-30	Igkv2-137
TRBV29-1	Trbv30
CYP4V2	Gm45753
MAGT1	Magt1
APLF	Aplf
CYP4V2	Cyp4v3
ABLIM3	Ablim3
BOC	Boc
PEX5L	Pex5l
SLC10A7	Slc10a7
WDR46	Wdr46
COMMD6	Commd6
MICU2	Micu2
PRSS3	Try4
PRSS1	Try4
PRSS2	Try4
AMMECR1L	Ammecr1l
UCHL3	Uchl3
B3GALT4	B3galt4
RNU6-256P	U6
CPM	Cpm
CYP2D6	Cyp2d40
CYP2D7	Cyp2d40
SLCO1C1	Slco1c1
FGF9	Fgf9
FGD4	Fgd4
POLR2D	Polr2d
SQLE	Sqle
SH3TC2	Sh3tc2
ATG14	Atg14
H3C3	H3c1
H1-1	H1f1
RIC8B	Ric8b
TRIM38	Trim38
TREM1	Trem1
CYP2D6	Cyp2d26
CYP2D7	Cyp2d26
ZNF366	Zfp366
PTCD2	Ptcd2
PRSS3	Try5
PRSS1	Try5
PRSS2	Try5
TCF20	Tcf20
EDC4	Edc4
FHL1	Fhl4
NSUN2	Nsun2
TMEM263	Tmem263
ADRB2	Adrb2
COX7B	Cox7b
PRSS3	Try10
PRSS1	Try10
PRSS2	Try10
MTERF2	Mterf2
