"KW"	"category"	"node_weight"	"occurrence"	"btw_cnt"	"cls_cnt"	"strength"	"qscore"	"Knode"	"ranking"	"CommunityMembership"
"EGFR"	"GENE"	0.0171428571428571	3	457.333333333333	0.995798633264879	13.5332649817792	0.814255955749208	104.12366819987	535	10
"EIF2S1"	"GENE"	0.0169491525423728	2	79	0.570716975777369	5.35209717626189	0.509913280896333	104.528816989368	508	12
"ERBB2"	"GENE"	0.0084745762711864	1	0	0.721803464261561	1.78403239208729	0.0722116908103214	96.2705814599699	642	3
"F9"	"GENE"	0.0057142857142857	1	0	0.728764426907311	4.30696922003847	0.29928700769579	157.976135800779	121	12
"FKBP8"	"GENE"	0.0084745762711864	1	0	0.602130529026245	4.28167774100951	0.287976742870077	147.826308259824	176	4
"FTH1"	"GENE"	0.0228571428571428	4	1203.55	0.811548391793953	13.1749820540228	0.845408697374378	179.310071645942	14	10
"FUNDC1"	"GENE"	0.0084745762711864	1	0	0.602130529026245	4.28167774100951	0.287976742870077	147.826308259824	179	4
"FXN"	"GENE"	0.0171428571428571	3	12936	1.02242433413036	16.6051217471617	0.929436396559529	154.632300557731	145	8
"GAA"	"GENE"	0.0114285714285714	2	143.666666666667	0.873609244258377	10.7244704806489	0.747121152105025	171.164815776373	56	8
"GABPA"	"GENE"	0.0228571428571428	4	1815.66666666667	0.775060287152568	12.8676759309553	0.855343198279765	205.021324962586	3	4
"GALNT14"	"GENE"	0.0057142857142857	1	0	0.745259794888462	4.2722330420888	0.277536498415573	150.496436149563	166	5
"GCLC"	"GENE"	0.0254237288135593	3	7.9	1.03294765165193	8.96871420244792	0.641311113626075	87.9910112175957	690	10
"GCLM"	"GENE"	0.0169491525423728	2	2.4	0.867768116578268	6.63552295967611	0.504244001810774	104.440692210443	510	10
"GGT1"	"GENE"	0.0057142857142857	1	0	0.749076902129622	3.52388390730421	0.212284970574921	101.624166061312	567	5
"GLRX5"	"GENE"	0.0057142857142857	1	0	0.701892485477056	3.91542656367134	0.25926607062019	166.427457798406	77	12
"GLS"	"GENE"	0.0057142857142857	1	0	0.750971486989379	6.65622515824128	0.507221876414667	158.895967003832	112	10
"GPX4"	"GENE"	0.125714285714286	22	102773.916666667	1.34198419291354	18.168515172741	0.965510411951109	62.3903465166221	732	2
"GSC"	"GENE"	0.0057142857142857	1	4.75	0.71115875779216	3.91542656367134	0.289302993435944	166.117436367455	81	6
"HDAC1"	"GENE"	0.0084745762711864	1	0	0.728579636562181	1.78403239208729	0.0722116908103214	100.084131286199	591	13
"HIF1A"	"GENE"	0.0084745762711864	1	0	0.718655147359763	3.92487126259205	0.269706315074694	96.8174883687567	640	14
"HMGCR"	"GENE"	0.0084745762711864	1	0	0.672898018928192	1.42722591366984	0.0330607741059303	95.9849480682542	655	3
"HMOX1"	"GENE"	0.0285714285714285	5	11418.65	1.18814202797427	19.0465205552568	0.942343467066546	76.4861428395328	707	10
"HSPB1"	"GENE"	0.0084745762711864	1	0	0.608623380944751	2.49764534892221	0.117452750113173	90.9111017765599	674	4
"HSPB2"	"GENE"	0.0084745762711864	1	0	0.608623380944751	2.49764534892221	0.117452750113173	90.9111017765599	675	4
"IDH1"	"GENE"	0.0057142857142857	1	1.46590909090909	0.699522890972455	7.04776781460841	0.575147125396107	169.334355958839	62	6
"IDH2"	"GENE"	0.0057142857142857	1	1.46590909090909	0.699522890972455	7.04776781460841	0.575147125396107	169.334355958839	64	6
"IDO1"	"GENE"	0.0084745762711864	1	0	0.725391882200146	3.21125830575713	0.197494624264373	100.595160887075	586	2
"IFNG"	"GENE"	0.0228571428571428	4	215	0.991173536623939	11.3323984542958	0.768899954730647	92.0492051109887	668	2
"IL13"	"GENE"	0.0084745762711864	1	0	0.587512622328003	4.63848421942697	0.348878168854685	133.855458387344	297	11
"IL1B"	"GENE"	0.0114285714285714	2	850.5	0.772244661078489	8.69285549489701	0.771294279085559	161.873456378382	96	11
"IL6"	"GENE"	0.0114285714285714	2	420.666666666667	0.634314907025088	9.40794490107088	0.765596706654595	141.428211355194	237	11
"KDM5A"	"GENE"	0.0057142857142857	1	0	0.778993471107623	5.4468610111902	0.422829900407424	136.797785760986	266	6
"KEAP1"	"GENE"	0.0084745762711864	1	0	0.739165880852649	1.78403239208729	0.0722116908103214	117.224573078884	415	4
"LCN2"	"GENE"	0.0057142857142857	1	0	0.786933041456137	7.01303163665874	0.527232344952467	145.500090107738	191	5
"MAPK1"	"GENE"	0.0057142857142857	1	8.66666666666667	0.803243716146189	3.52388390730421	0.239899275690358	141.591618859228	225	6
"MAPK8"	"GENE"	0.0084745762711864	1	0	0.476440292230483	3.21125830575713	0.197494624264373	63.0035635641379	729	1
"MCU"	"GENE"	0.0084745762711864	1	0	0.721294193707425	1.42722591366984	0.0330607741059303	99.1774182436904	598	2
"MIEF1"	"GENE"	0.0057142857142857	1	0	0.6539067648091	6.65622515824128	0.507221876414667	141.449121444155	236	4
"MIR6516"	"GENE"	0.0084745762711864	1	0	0.739504709682443	4.63848421942697	0.348878168854685	113.303484983737	437	4
"MMP2"	"GENE"	0.0084745762711864	1	0	0.770010052304879	3.56806478417459	0.237515561339973	124.309921820487	363	9
"MMP9"	"GENE"	0.0114285714285714	2	68.75	0.765288786095144	10.9631943782798	0.720277840651879	132.008356057565	306	10
"MMRN1"	"GENE"	0.0057142857142857	1	0	0.6539067648091	6.65622515824128	0.507221876414667	141.449121444155	230	4
"MPC1"	"GENE"	0.0057142857142857	1	0	0.778993471107623	5.4468610111902	0.422829900407424	136.797785760986	264	6
"MT-RNR2"	"GENE"	0.0057142857142857	1	0	0.770368988429317	4.69851187640561	0.373238739248529	131.870871140223	310	9
"MTOR"	"GENE"	0.0171428571428571	3	783.291666666667	0.916090223196179	10.0848884020413	0.789071341670439	108.898328167366	493	5
"NCL"	"GENE"	0.0084745762711864	1	0	0.718655147359763	3.92487126259205	0.269706315074694	96.8174883687567	639	14
"NFE2L2"	"GENE"	0.0514285714285714	9	6596.91666666667	0.77948176117707	20.4075515194191	0.9409270314622	207.567215566485	1	4
"NFKB1"	"GENE"	0.0057142857142857	1	4.75	0.71115875779216	3.91542656367134	0.289302993435944	166.117436367455	78	6
"NGF"	"GENE"	0.0057142857142857	1	0	0.699839116436945	6.65622515824128	0.507221876414667	165.234840817732	84	6
"NOC2L"	"GENE"	0.0084745762711864	1	0	0.725391882200146	3.21125830575713	0.197494624264373	100.595160887075	588	2
"NOX1"	"GENE"	0.0057142857142857	1	0	0.742937083281281	2.74079859456994	0.140943300135808	102.452907665244	565	2
"NTHL1"	"GENE"	0.0057142857142857	1	0	0.606092303028203	3.13234125093707	0.168783952014486	156.873536713389	128	15
"P4HB"	"GENE"	0.0084745762711864	1	0	0.722503877701801	1.78403239208729	0.0722116908103214	96.1580743620022	651	2
"PADI1"	"GENE"	0.0084745762711864	1	0	0.722503877701801	1.78403239208729	0.0722116908103214	96.1580743620022	650	2
"PCLAF"	"GENE"	0.0084745762711864	1	0	0.721878380680545	1.42722591366984	0.0330607741059303	97.9248236405063	624	2
"PDCD1"	"GENE"	0.0057142857142857	1	0	0.747441138628329	1.95771328183567	0.0791718537799909	113.139410059832	443	2
"PDIA2"	"GENE"	0.0084745762711864	1	0	0.722503877701801	1.78403239208729	0.0722116908103214	96.1580743620022	648	2
"PEBP1"	"GENE"	0.0084745762711864	1	0	0.645094895407753	3.21125830575713	0.197494624264373	110.10675383433	476	14
"PINK1"	"GENE"	0.0084745762711864	1	0	0.602130529026245	4.28167774100951	0.287976742870077	147.826308259824	181	4
"POU5F1"	"GENE"	0.0057142857142857	1	0	0.668693209843934	5.09005453277274	0.413259676324129	154.775688475829	137	7
"PPARGC1A"	"GENE"	0.0057142857142857	1	0	0.602520315160966	2.3492559382028	0.0983123019465822	143.432926347178	217	15
"PRKAA2"	"GENE"	0.0084745762711864	1	0	0.712634679306143	3.56806478417459	0.237515561339973	134.544758587604	289	12
"PSTK"	"GENE"	0.0057142857142857	1	0	0.756564106905964	3.0976050729874	0.160953768673608	105.482212255835	502	2
"RPE"	"GENE"	0.0228571428571428	4	1104.125	0.889047465723754	10.163089963674	0.805681303757356	183.339658351071	13	15
"SDHD"	"GENE"	0.0084745762711864	1	0	0.728395557549433	2.14083887050475	0.0809118945224083	105.231037079088	506	2
"SELP"	"GENE"	0.0084745762711864	1	0	1.55474202777969	0.713612956834918	1	0	2	16
"SERPINB6"	"GENE"	0.0057142857142857	1	0	0.741234959244709	1.95771328183567	0.0791718537799909	98.8540595057489	607	15
"SLC39A14"	"GENE"	0.0084745762711864	1	0	0.749156782290496	2.49764534892221	0.117452750113173	124.271522072464	374	1
"SLC3A2"	"GENE"	0.0084745762711864	1	0	0.573890631065797	4.63848421942697	0.348878168854685	104.267638875918	526	13
"SLC40A1"	"GENE"	0.0057142857142857	1	0	0.750971486989379	6.65622515824128	0.507221876414667	158.895967003832	116	10
"SLC7A11"	"GENE"	0.0571428571428571	10	22969.5833333333	1.3391059786385	26.3287984376633	0.982776425984608	63.308200351802	723	5
"SLC9A1"	"GENE"	0.0171428571428571	3	807.25	0.984294688538355	9.72057050261796	0.785529368492531	88.7033900393579	688	5
"SOD2"	"GENE"	0.0114285714285714	2	139.166666666667	0.836182936081914	9.32902784625082	0.723602308736985	154.759685186081	143	6
"SRF"	"GENE"	0.0084745762711864	1	0	0.770010052304879	3.56806478417459	0.237515561339973	124.309921820487	364	9
"STAT3"	"GENE"	0.0057142857142857	1	0	0.770368988429317	4.69851187640561	0.373238739248529	131.870871140223	312	9
"TCF7L2"	"GENE"	0.0084745762711864	1	0	0.694362734614472	3.92487126259205	0.269706315074694	121.086000613304	403	10
"TF"	"GENE"	0.0457142857142857	8	12966.5	1.07440976077946	24.3171820246767	0.964318554775917	141.830634679199	220	1
"TFRC"	"GENE"	0.0254237288135593	3	15	0.944752545849813	6.22211247279995	0.50687881960163	152.460456456543	152	1
"TNF"	"GENE"	0.0171428571428571	3	1918.97222222222	0.721760345175543	12.829096723865	0.855357344952467	152.742008984235	150	11
"TP53"	"GENE"	0.0057142857142857	1	0	0.798008752641797	4.69851187640561	0.373238739248529	138.160021024908	251	6
"UTRN"	"GENE"	0.0114285714285714	2	142.083333333333	0.722070300162082	11.2991387256851	0.758063603440471	186.351923010156	10	4
"VDAC1"	"GENE"	0.0084745762711864	1	0	0.749156782290496	2.49764534892221	0.117452750113173	124.271522072464	370	1
"VIM"	"GENE"	0.0057142857142857	1	0	0.750971486989379	6.65622515824128	0.507221876414667	158.895967003832	114	10
"XAB2"	"GENE"	0.0084745762711864	1	0	0.645094895407753	3.21125830575713	0.197494624264373	110.10675383433	475	14
"YAP1"	"GENE"	0.0057142857142857	1	0	0.781475281624978	5.09005453277274	0.413259676324129	128.06615046956	334	2
"a549 cells"	"MESH"	0.0057142857142857	1	0	0.767752072892568	5.05531835482307	0.382808963331824	125.307721041853	352	10
"acetophenones/pharmacology"	"MESH"	0.0057142857142857	1	0	0.668693209843934	5.09005453277274	0.413259676324129	154.775688475829	141	7
"acetyl coenzyme a/metabolism"	"MESH"	0.0057142857142857	1	0	0.575496668407077	4.69851187640561	0.373238739248529	103.988138936141	541	11
"acetylcysteine/pharmacology"	"MESH"	0.0114285714285714	2	334.916666666667	0.84612761720496	9.32902784625082	0.75394692168402	155.956722149547	131	7
"aconitate hydratase/metabolism"	"MESH"	0.0057142857142857	1	0	0.697320787789878	6.26468250187414	0.457630715255772	174.343237695303	38	9
"actin-related protein 2-3 complex/metabolism"	"MESH"	0.0057142857142857	1	0	0.6539067648091	6.65622515824128	0.507221876414667	141.449121444155	227	4
"actins/metabolism"	"MESH"	0.0114285714285714	2	3167.125	0.991939285304907	12.0018305342604	0.862763128112268	103.253427181077	555	4
"activating transcription factor 4/genetics"	"MESH"	0.0084745762711864	1	0	0.670139621331554	4.28167774100951	0.287976742870077	159.480620951951	104	4
"activating transcription factor 4/metabolism"	"MESH"	0.0084745762711864	1	0	0.565839040186531	3.21125830575713	0.197494624264373	114.283986458641	425	4
"activation metabolic"	"MESH"	0.0057142857142857	1	4.75	0.71115875779216	3.91542656367134	0.289302993435944	166.117436367455	79	6
"active transport cell nucleus"	"MESH"	0.0057142857142857	1	0	0.760991477236866	5.09005453277274	0.413259676324129	124.685377278354	360	3
"acute disease"	"MESH"	0.0057142857142857	1	0	0.683776195235423	3.52388390730421	0.212284970574921	147.01600849408	184	6
"adamts9 protein/physiology"	"MESH"	0.0084745762711864	1	0	0.739504709682443	4.63848421942697	0.348878168854685	113.303484983737	439	4
"adaptor proteins signal transducing/genetics"	"MESH"	0.0057142857142857	1	0	0.781475281624978	5.09005453277274	0.413259676324129	128.06615046956	330	2
"adaptor proteins signal transducing/metabolism"	"MESH"	0.0057142857142857	1	0	0.760991477236866	5.09005453277274	0.413259676324129	124.685377278354	357	3
"adenine/administration & dosage"	"MESH"	0.0084745762711864	1	0	0.587512622328003	4.63848421942697	0.348878168854685	133.855458387344	300	11
"adenosine triphosphate"	"MESH"	0.0084745762711864	1	0	0.728579636562181	1.78403239208729	0.0722116908103214	100.084131286199	590	13
"adenosine triphosphate/metabolism"	"MESH"	0.0084745762711864	1	0	0.728807034586552	3.92487126259205	0.269706315074694	147.912252802151	175	12
"adipocytes/drug effects"	"MESH"	0.0057142857142857	1	0	0.748781097408571	4.69851187640561	0.373238739248529	135.079371252703	281	2
"adjuvants immunologic"	"MESH"	0.0057142857142857	1	0	0.742154069546321	2.3492559382028	0.0983123019465822	99.1174867784919	602	2
"aging/genetics"	"MESH"	0.0342857142857142	6	6701.12499999999	0.893746322049316	11.9168155258285	0.886055624717067	184.468263774403	12	15
"alanine/metabolism"	"MESH"	0.0057142857142857	1	0	0.575496668407077	4.69851187640561	0.373238739248529	103.988138936141	536	11
"alcohol oxidoreductases/genetics"	"MESH"	0.0057142857142857	1	2.93333333333333	0.717855872389443	4.62903952050626	0.338055964237211	176.479663848614	29	6
"amino acid transport system y+/analysis"	"MESH"	0.0084745762711864	1	0	0.629973385905036	2.49764534892221	0.117452750113173	113.45159662526	429	5
"amino acid transport system y+/antagonists & inhibitors"	"MESH"	0.0057142857142857	1	0	0.752126225029941	5.09005453277274	0.413259676324129	109.3699191573	485	5
"amino acid transport system y+/genetics"	"MESH"	0.0114285714285714	2	10.1666666666667	0.979849679766664	8.40995072039577	0.652005998189226	95.8310800195646	656	6
"amino acid transport system y+/metabolism"	"MESH"	0.0114285714285714	2	211	0.663983922270494	7.48349134784593	0.697386755885016	121.323964164123	399	13
"aminolevulinic acid/pharmacology"	"MESH"	0.0057142857142857	1	0	0.773024050246578	2.74079859456994	0.140943300135808	116.211700794389	417	2
"amp-activated protein kinases/metabolism"	"MESH"	0.0084745762711864	1	0	0.712634679306143	3.56806478417459	0.237515561339973	134.544758587604	287	12
"amyotrophic lateral sclerosis/drug therapy"	"MESH"	0.0084745762711864	1	0	0.512063830197586	1.42722591366984	0.0330607741059303	60.8085154835797	741	6
"androgen antagonists/pharmacology"	"MESH"	0.0084745762711864	1	0	0.573890631065797	4.63848421942697	0.348878168854685	104.267638875918	528	13
"androstenes/pharmacology"	"MESH"	0.0084745762711864	1	0	0.573890631065797	4.63848421942697	0.348878168854685	104.267638875918	533	13
"aniline compounds/pharmacology"	"MESH"	0.0114285714285714	2	119.333333333333	0.762471423980889	7.90977018216274	0.681643277501132	119.360344247249	409	13
"anion transport proteins/antagonists & inhibitors"	"MESH"	0.0057142857142857	1	0	0.746827311718792	6.26468250187414	0.457630715255772	104.340994826442	523	3
"anthelmintics/pharmacology"	"MESH"	0.0057142857142857	1	0	0.798008752641797	4.69851187640561	0.373238739248529	138.160021024908	250	6
"anthracenes/chemistry"	"MESH"	0.0057142857142857	1	0	0.753341824645407	5.09005453277274	0.413259676324129	109.814429732787	480	3
"anthracenes/pharmacology"	"MESH"	0.0084745762711864	1	0	0.476440292230483	3.21125830575713	0.197494624264373	63.0035635641379	728	1
"antibiotics antineoplastic/administration & dosage"	"MESH"	0.0084745762711864	1	0	0.608359810270717	1.42722591366984	0.0330607741059303	89.5964111298428	683	3
"antibodies monoclonal/metabolism"	"MESH"	0.0084745762711864	1	0	0.669487468314673	2.85445182733967	0.152253564961521	144.73000659606	210	1
"antigens/metabolism"	"MESH"	0.0084745762711864	1	0	0.669487468314673	2.85445182733967	0.152253564961521	144.73000659606	209	1
"antimalarials/pharmacology"	"MESH"	0.0057142857142857	1	8.66666666666667	0.803243716146189	3.52388390730421	0.239899275690358	141.591618859228	224	6
"antimetabolites antineoplastic/pharmacology"	"MESH"	0.0084745762711864	1	0	0.694362734614472	3.92487126259205	0.269706315074694	121.086000613304	402	10
"antimycin a/pharmacology"	"MESH"	0.0171428571428571	3	933	1.03568696062312	2.45949944371871	0.136073308057945	91.2898490405064	670	-1
"antineoplastic agents"	"MESH"	0.0114285714285714	2	72.6666666666667	0.709064115063604	6.58675280234193	0.56551324128565	151.305766336053	159	6
"antineoplastic agents hormonal/pharmacology"	"MESH"	0.0057142857142857	1	0	0.746827311718792	6.26468250187414	0.457630715255772	104.340994826442	512	3
"antineoplastic agents phytogenic/isolation & purification"	"MESH"	0.0084745762711864	1	0	0.712634679306143	3.56806478417459	0.237515561339973	134.544758587604	290	12
"antineoplastic agents/administration & dosage"	"MESH"	0.0342857142857142	6	5392.55	1.04646015205685	13.1888561009604	0.885097187641467	107.827868557759	495	3
"antineoplastic agents/adverse effects"	"MESH"	0.0114285714285714	2	0	0.979556510662579	3.42115182279414	0.200104685377999	95.1190783260553	663	-1
"antineoplastic agents/analysis"	"MESH"	0.0084745762711864	1	0	0.770010052304879	3.56806478417459	0.237515561339973	124.309921820487	365	9
"antineoplastic agents/chemistry"	"MESH"	0.0342857142857142	6	6201.86666666668	1.06582799854212	15.4006437767035	0.909079334540516	98.8975176679265	605	14
"antineoplastic agents/pharmacology"	"MESH"	0.0628571428571428	11	26385	1.29874975784046	22.8258032335871	0.9775209370756	65.0921283005145	717	2
"antineoplastic agents/therapeutic use"	"MESH"	0.0228571428571428	4	21587.5833333333	1.21200061838682	8.22990720471565	0.842370699411498	78.6287340719869	704	5
"antioxidants/pharmacology"	"MESH"	0.0228571428571428	4	3064.16666666667	0.761548610362051	9.76475137948834	0.82439735174287	116.228541729675	416	6
"antitubercular agents/administration & dosage"	"MESH"	0.0084745762711864	1	0	0.727704053384338	2.49764534892221	0.117452750113173	95.6650535178077	660	11
"apoptosis"	"MESH"	0.04	7	6365.5	1.32738241061545	14.9192031985236	0.906531165119964	63.574903107779	722	2
"apoptosis/drug effects"	"MESH"	0.0914285714285714	16	1508.58333333333	0.76804952776598	15.1278143834119	0.867399700090539	123.676243358963	380	12
"apoptosis/genetics"	"MESH"	0.0084745762711864	1	0	0.670139621331554	4.28167774100951	0.287976742870077	159.480620951951	101	4
"artemisinins/pharmacology"	"MESH"	0.0171428571428571	3	76.3333333333333	0.990047434024197	8.26683925530493	0.684423098687189	92.23902608945	667	12
"artesunate/administration & dosage"	"MESH"	0.0114285714285714	2	346.833333333333	0.76216395272113	4.06381597439075	0.355818880149389	122.131164083276	394	12
"artesunate/pharmacology"	"MESH"	0.0057142857142857	1	8.66666666666667	0.803243716146189	3.52388390730421	0.239899275690358	141.591618859228	226	6
"arthritis rheumatoid/genetics"	"MESH"	0.0057142857142857	1	0.222222222222222	0.611363401971261	3.91542656367134	0.261900888411046	123.324345192794	388	9
"ascorbic acid/pharmacology"	"MESH"	0.0114285714285714	2	304	0.69317060677404	7.01303163665874	0.689045523992757	168.722738694318	70	7
"asthma/chemically induced"	"MESH"	0.0084745762711864	1	0	0.587512622328003	4.63848421942697	0.348878168854685	133.855458387344	299	11
"asymmetric cell division/drug effects"	"MESH"	0.0057142857142857	1	0	0.780664417289276	4.30696922003847	0.29928700769579	129.970609358762	317	5
"autophagy"	"MESH"	0.0254237288135593	3	828.75	0.994497464247767	2.78255176221187	0.192831527274785	114.907254668169	422	9
"autophagy/drug effects"	"MESH"	0.0338983050847457	4	379	0.70658115520729	10.146983735392	0.770072360230874	119.856537038215	408	12
"azo compounds/chemistry"	"MESH"	0.0084745762711864	1	0	0.726270389186654	3.56806478417459	0.237515561339973	98.114678994348	617	3
"b7-h1 antigen/antagonists & inhibitors"	"MESH"	0.0084745762711864	1	0	0.724389427975016	4.63848421942697	0.348878168854685	111.691534069162	458	13
"b7-h1 antigen/biosynthesis"	"MESH"	0.0057142857142857	1	0	0.781475281624978	5.09005453277274	0.413259676324129	128.06615046956	333	2
"b7-h1 antigen/metabolism"	"MESH"	0.0171428571428571	3	24.8333333333333	1.07239267209655	8.30541453228188	0.656971480307832	82.5890829507094	699	2
"benzamides/pharmacology"	"MESH"	0.0084745762711864	1	0	0.573890631065797	4.63848421942697	0.348878168854685	104.267638875918	525	13
"benzazepines/pharmacology"	"MESH"	0.0057142857142857	1	0	0.746827311718792	6.26468250187414	0.457630715255772	104.340994826442	522	3
"benzophenanthridines/pharmacology"	"MESH"	0.0057142857142857	1	122.1	0.799163474521004	4.62903952050626	0.385900011317338	145.367556672225	207	1
"benzylidene compounds/pharmacology"	"MESH"	0.0084745762711864	1	0	0.724389427975016	4.63848421942697	0.348878168854685	111.691534069162	454	13
"beta catenin/antagonists & inhibitors"	"MESH"	0.0084745762711864	1	0	0.694362734614472	3.92487126259205	0.269706315074694	121.086000613304	401	10
"bevacizumab/therapeutic use"	"MESH"	0.0084745762711864	1	0	0.739568587189323	4.63848421942697	0.348878168854685	128.362990069511	326	15
"biflavonoids/administration & dosage"	"MESH"	0.0057142857142857	1	0	0.767752072892568	5.05531835482307	0.382808963331824	125.307721041853	350	10
"biological products"	"MESH"	0.0057142857142857	1	0	0.782628278978914	3.0976050729874	0.160953768673608	126.522498392614	339	12
"biological transport"	"MESH"	0.0057142857142857	1	0	0.749076902129622	3.52388390730421	0.212284970574921	101.624166061312	570	5
"biological transport/physiology"	"MESH"	0.0057142857142857	1	0	0.769431910282668	2.3492559382028	0.0983123019465822	122.280550690587	392	3
"biomarkers tumor"	"MESH"	0.0114285714285714	2	26	0.979880686555725	5.41360128257948	0.490606609325487	89.488570596894	686	2
"biomarkers tumor/metabolism"	"MESH"	0.0084745762711864	1	0	0.728579636562181	1.78403239208729	0.0722116908103214	100.084131286199	593	13
"biomarkers/chemistry"	"MESH"	0.0084745762711864	1	0	0.723970643122318	3.21125830575713	0.197494624264373	138.051418900072	254	9
"biomarkers/metabolism"	"MESH"	0.0084745762711864	1	0	0.669487468314673	2.85445182733967	0.152253564961521	144.73000659606	213	1
"biotin/chemistry"	"MESH"	0.0057142857142857	1	0	0.753341824645407	5.09005453277274	0.413259676324129	109.814429732787	482	3
"blood cells/drug effects"	"MESH"	0.0084745762711864	1	0	1.55474202777969	0.713612956834918	1	0	1	16
"bone neoplasms/drug therapy"	"MESH"	0.0084745762711864	1	0	0.721770430652578	1.78403239208729	0.0722116908103214	98.7283141591023	609	2
"brain neoplasms/genetics"	"MESH"	0.0084745762711864	1	0	0.608623380944751	2.49764534892221	0.117452750113173	90.9111017765599	676	4
"brain neoplasms/metabolism"	"MESH"	0.0114285714285714	2	209.333333333333	0.841933534002273	7.37131456441515	0.692939395654142	150.502606084715	162	7
"brain neoplasms/prevention & control"	"MESH"	0.0084745762711864	1	0	0.721803464261561	1.78403239208729	0.0722116908103214	96.2705814599699	644	3
"breast neoplasms/diagnosis"	"MESH"	0.0057142857142857	1	0	0.745963681708824	2.74079859456994	0.140943300135808	103.932532208993	547	2
"breast neoplasms/drug therapy"	"MESH"	0.08	14	32853.9166666667	1.33957144632813	32.726069033113	0.989374080466274	62.8059493530414	731	3
"breast neoplasms/pathology"	"MESH"	0.0084745762711864	1	0	0.728579636562181	1.78403239208729	0.0722116908103214	100.084131286199	592	13
"breast neoplasms/therapy"	"MESH"	0.0057142857142857	1	0	0.741234959244709	1.95771328183567	0.0791718537799909	98.8540595057489	606	15
"bronchi/cytology"	"MESH"	0.0084745762711864	1	0	0.587512622328003	4.63848421942697	0.348878168854685	133.855458387344	294	11
