"entity"	"membership"
"antineoplastic agents immunological/administration &amp; dosage"	8
"ATM"	8
"cancer-associated fibroblasts/pathology"	8
"carcinoma hepatocellular/pathology"	8
"CD36"	8
"cd36 antigens/antagonists &amp; inhibitors"	8
"cd8-positive t-lymphocytes/immunology"	8
"CD8A"	8
"cellular reprogramming/immunology"	8
"cysteine/metabolism"	8
"cytokines/metabolism"	8
"FAM126A"	8
"FAP"	8
"fatty acids/metabolism"	8
"fusion regulatory protein 1 heavy chain/metabolism"	8
"gene expression regulation neoplastic/drug effects"	8
"IL34"	8
"interferon-gamma/immunology"	8
"interleukins/metabolism"	8
"lipid metabolism/drug effects"	8
"liver neoplasms/immunology"	8
"melanoma/genetics"	8
"metabolic reprogramming"	8
"multiple myeloma/drug therapy"	8
"neoplastic stem cells/immunology"	8
"nivolumab/therapeutic use"	8
"PDCD1"	8
"RPL17"	8
"RPL17-C18orf32"	8
"SLC3A2"	8
"SLC9A1"	8
"sulfasalazine/administration &amp; dosage"	8
"tumor escape/immunology"	8
"VIM"	8
"amp-activated protein kinase kinases"	9
"BTRC"	9
"cell survival/drug effects"	9
"CTLA4"	9
"GABPA"	9
"gene expression"	9
"glycogen synthase kinase 3/metabolism"	9
"GSK3B"	9
"inflammation mediators/antagonists &amp; inhibitors"	9
"iron/chemistry"	9
"lipopolysaccharides/toxicity"	9
"lung neoplasms/drug therapy"	9
"microglia/drug effects"	9
"mitochondria/drug effects"	9
"MTOR"	9
"nf-e2-related factor 2/biosynthesis"	9
"nf-e2-related factor 2/genetics"	9
"NFE2L2"	9
"PRKAA1"	9
"PRKAA2"	9
"PRKAB1"	9
"tor serine-threonine kinases/metabolism"	9
"aniline compounds/chemistry"	10
"ascorbic acid/pharmacology"	10
"b7-h1 antigen/metabolism"	10
"benzylidene compounds/chemistry"	10
"CALR"	10
"calreticulin/metabolism"	10
"cd8-positive t-lymphocytes/cytology"	10
"CYREN"	10
"exosomes/metabolism"	10
"ferric compounds/chemistry"	10
"immunogenic cell death/drug effects"	10
"interferon-gamma/metabolism"	10
"metal-organic frameworks/chemistry"	10
"neoplasms/diagnostic imaging"	10
"phenol/chemistry"	10
"programmed cell death 1 receptor/metabolism"	10
"t-lymphocytes cytotoxic/metabolism"	10
"antineoplastic agents/chemistry"	11
"apoptosis/drug effects"	11
"biological products/chemistry"	11
"bone marrow/drug effects"	11
"dichloroacetic acid/chemistry"	11
"drug interactions"	11
"drug synergism"	11
"energy metabolism/drug effects"	11
"ileum/drug effects"	11
"macrophages/cytology"	11
"necroptosis/drug effects"	11
"neoplasms/drug therapy"	11
"protein kinase inhibitors/chemistry"	11
"pyruvate dehydrogenase acetyl-transferring kinase/antagonists &amp; inhibitors"	11
"radiation-protective agents/pharmacology"	11
"saponins/chemistry"	11
"small molecule libraries/pharmacology"	11
"antioxidants/pharmacology"	12
"biopterins/analogs &amp; derivatives"	12
"carbolines/pharmacology"	12
"cell proliferation/drug effects"	12
"cystine/antagonists &amp; inhibitors"	12
"dose-response relationship drug"	12
"folic acid antagonists/pharmacology"	12
"gene expression regulation neoplastic"	12
"glutathione"	12
"iron/blood"	12
"jurkat cells"	12
"kidney"	12
"liver/pathology"	12
"malondialdehyde/blood"	12
"methotrexate/pharmacology"	12
"oxidative stress"	12
"phospholipid hydroperoxide glutathione peroxidase"	12
"phospholipid hydroperoxide glutathione peroxidase/antagonists &amp; inhibitors"	12
"piperazines/pharmacology"	12
"spleen/pathology"	12
"tetrahydrofolate dehydrogenase/genetics"	12
"vitamin e/pharmacology"	12
"bacterial toxins/metabolism"	13
"cells cultured"	13
"endothelial cells/metabolism"	13
"FTH1"	13
"heart ventricles/diagnostic imaging"	13
"hemodynamics/drug effects"	13
"HMGB1"	13
"hmgb1 protein/metabolism"	13
"hypertension pulmonary/chemically induced"	13
"inflammasomes/metabolism"	13
"inflammation/metabolism"	13
"lung/blood supply"	13
"macrophages/metabolism"	13
"monocrotaline/toxicity"	13
"nlr family pyrin domain-containing 3 protein/metabolism"	13
"NLRP3"	13
"NOX4"	13
"toll-like receptor 4/metabolism"	13
"biomarkers tumor"	14
"carcinoma pancreatic ductal/metabolism"	14
"cell transformation neoplastic/genetics"	14
"diet"	14
"dna"	14
"KDM8"	14
"macrophages"	14
"membrane proteins/genetics"	14
"pancreas/metabolism"	14
"pancreatitis/genetics"	14
"phospholipid hydroperoxide glutathione peroxidase/genetics"	14
"proto-oncogene proteins p21(ras)/metabolism"	14
"quinoxalines/pharmacology"	14
"spiro compounds/pharmacology"	14
"STING1"	14
"tumor microenvironment"	14
