KW	Category	Representativeness	Raw.Occurrence	Betweenness.centrality	Closeness.centrality	Strength	Wscore	Knode	Knode.rank	CommunityMembership
"AIFM1"	"GENE"	0.0056818181818181	2	3096.05964223732	0.484176389951546	7.26479076479076	0.252722179013032	-7.15962212768791	454	6
"AIFM2"	"GENE"	0.037037037037037	1	3606.86992495964	0.413496030183798	4.13452380952381	0.1032324883732	-32.0546234650384	618	7
"AKT1"	"GENE"	0.0397727272727272	14	2216.66664497802	0.498184898897205	6.89132836802173	0.200400588879542	-19.199724682253	533	14
"allografts"	"MESH"	0.002840909090909	1	17012.1326864297	0.481440214322237	8.56422466422466	0.53136656561007	81.5530475088674	53	14
"alpha 1-antitrypsin/chemistry"	"MESH"	0.002840909090909	1	23088.5202058021	0.408692682879578	6.7515873015873	0.381362994238187	-8.42101253993031	470	15
"amidines/pharmacology"	"MESH"	0.002840909090909	1	9109.25189577014	0.444358870142094	5.79229980969111	0.238255146743702	-19.3249437009625	536	16
"amino acid transport system y+/genetics"	"MESH"	0.0056818181818181	2	651.264405085878	0.459757239491542	5.44912424740011	0.0537193854065809	56.3220793088824	109	2
"amino acid transport system y+/metabolism"	"MESH"	0.0085227272727272	3	1778.3706292208	0.486119295318206	8.34020296643247	0.249833335978794	9.52306369392832	349	17
"amino acids"	"MESH"	0.002840909090909	1	3768.09303289973	0.413851214727058	4.34933487565066	0.120950461103792	-78.1881444144078	789	10
"ammonia/adverse effects"	"MESH"	0.002840909090909	1	243537.840414029	0.398715088968887	9.57543290043289	0.805299717464802	19.262442339403	317	18
"androgens/pharmacology"	"MESH"	0.002840909090909	1	16628.7141524326	0.441440029254309	7.02945845004668	0.384859962540277	-79.0520294860516	793	19
"aniline compounds/chemistry"	"MESH"	0.002840909090909	1	43723.3824241475	0.429196325152779	7.35316962730755	0.503752916620371	-17.117831181918	521	9
"aniline compounds/pharmacology"	"MESH"	0.002840909090909	1	2567.25960984315	0.465417828569849	5.24837164750958	0.131543546927827	-51.3393017079151	714	2
"annexin a5/metabolism"	"MESH"	0.002840909090909	1	4199.53430418956	0.443583106910532	5.44007936507936	0.177004134855002	-51.8247723886159	718	20
"anoikis/drug effects"	"MESH"	0.002840909090909	1	49283.9325774315	0.420389311390867	7.40939153439153	0.541451722988524	-97.3939282606221	864	21
"anti-bacterial agents/pharmacology"	"MESH"	0.0284090909090909	10	664.436573576306	0.42921359662893	2.84856476856477	0.0164997380993952	-211.914382218048	1000	7
"anti-inflammatory agents non-steroidal/pharmacology"	"MESH"	0.0056818181818181	2	1146.26768983496	0.453172375377735	7.39967532467533	0.150014483897081	-30.8686402123662	613	7
"anti-inflammatory agents/pharmacology"	"MESH"	0.002840909090909	1	105088.774693076	0.419615714647273	8.96437908496731	0.714966825923398	-36.23367672126	647	22
"antibodies blocking/pharmacology"	"MESH"	0.002840909090909	1	1668.20063927746	0.414942382192333	3.0491452991453	0.0362494246123077	8.11017347678831	355	10
"antibodies monoclonal humanized/administration & dosage"	"MESH"	0.002840909090909	1	1809.60912617324	0.424404421755357	2.73024198024198	0.0345054046761162	45.9151787260311	151	22
"antibodies monoclonal humanized/pharmacology"	"MESH"	0.002840909090909	1	5517.2523593899	0.458766373471587	3.99651979565772	0.101435889906509	109.220175442711	21	9
"antibodies monoclonal/pharmacology"	"MESH"	0.0111111111111111	1	66362.5259672022	0.410602508353171	8.29487734487734	0.646684179616197	40.5765635712634	165	2
"antibodies neutralizing/metabolism"	"MESH"	0.002840909090909	1	1728.67795109178	0.424507866808409	4.15044858523119	0.0737369248107173	-21.675994477914	557	19
"antibody-dependent cell cytotoxicity/drug effects"	"MESH"	0.002840909090909	1	1444.80784946213	0.424404421755357	2.73024198024198	0.0282316947350042	45.915172477316	152	22
"antigen presentation/drug effects"	"MESH"	0.0111111111111111	1	64659.4107648245	0.410602508353171	8.29487734487734	0.644449096046095	40.5765613450845	166	2
"antigen-presenting cells/drug effects"	"MESH"	0.002840909090909	1	439914.524867742	0.39357571433256	9.44276094276093	0.807606228472564	-1.4358225770891	411	23
"antigens bacterial/metabolism"	"MESH"	0.0227272727272727	8	904.14219679791	0.422901356595188	2.40533867459241	0.0159104617387026	-132.046874305992	960	24
"antigens cd/metabolism"	"MESH"	0.002840909090909	1	67534.8827260508	0.435598637297069	8.1164802101873	0.63941445373883	36.539428141374	196	25
"antigens differentiation myelomonocytic/metabolism"	"MESH"	0.002840909090909	1	40371.5991622585	0.435598637297069	8.1164802101873	0.596835764511674	36.539385732321	199	25
"antigens neoplasm/immunology"	"MESH"	0.002840909090909	1	2002.62961598835	0.478446707983168	4.61363636363636	0.105442770749671	124.69866264248	2	2
"antigens polyomavirus transforming/genetics"	"MESH"	0.002840909090909	1	1279.46585518939	0.492606430761377	3.58839075578206	0.0381501880922525	52.0909392775657	129	2
"antineoplastic agents immunological/administration & dosage"	"MESH"	0.002840909090909	1	3554.7865916263	0.435111652455201	4.35415149568073	0.121900842843764	25.9860600221709	233	2
"antineoplastic agents immunological/pharmacology"	"MESH"	0.0056818181818181	2	874.636662069965	0.475937050835443	7.18181216931217	0.113164870398883	38.7330561229674	179	25
"antineoplastic agents phytogenic/isolation & purification"	"MESH"	0.002840909090909	1	31269.3272104002	0.424234997663984	7.02562111801242	0.431350296027047	-7.83151025456605	461	5
"antineoplastic agents phytogenic/pharmacology"	"MESH"	0.0056818181818181	2	994.887898646449	0.472088965080202	5.67934514316093	0.0812169648100824	50.15870568548	138	2
"antineoplastic agents phytogenic/therapeutic use"	"MESH"	0.002840909090909	1	7298.33868228044	0.440782164729594	5.56481481481481	0.212807137981937	-21.4622133727409	554	5
"antineoplastic agents/chemistry"	"MESH"	0.037037037037037	1	0	0.414965938278437	3.42745992745993	0.00204163425977365	31.1211490760309	220	13
"antineoplastic agents/metabolism"	"MESH"	0.002840909090909	1	15037.1960379081	0.445717135528118	7.07592592592592	0.393461016491802	52.0934809211459	125	26
"antineoplastic agents/pharmacology"	"MESH"	0.065340909090909	23	3427.07367360511	0.536723323600368	6.29935219251152	0.210815106109427	61.3150866627882	99	19
"antioxidants/adverse effects"	"MESH"	0.002840909090909	1	248820.630057801	0.403013820781567	9.14882154882154	0.762043459627625	37.1474454066584	183	27
"antioxidants/chemistry"	"MESH"	0.002840909090909	1	25249.1921966016	0.406107200524793	6.47806026365348	0.353216615609276	22.1526054557782	271	28
"antioxidants/metabolism"	"MESH"	0.002840909090909	1	18511.2548625646	0.458664220902608	9.17619047619047	0.577888644624689	13.8648046200058	337	3
"antioxidants/pharmacology"	"MESH"	0.0056818181818181	2	1030.68896649551	0.474243732946169	8.66088533499524	0.167006277678132	62.79033021519	98	17
"ANTXR1"	"GENE"	0.002840909090909	1	7031.40112447961	0.388736699837731	4.74351851851851	0.170134204218981	-35.8516330438795	643	24
"ANTXR2"	"GENE"	0.002840909090909	1	7317.62052102293	0.388736699837731	4.74351851851851	0.171336566086253	-35.8516318463079	641	24
"apigenin/pharmacology"	"MESH"	0.002840909090909	1	11371.6213989272	0.467111382707209	7.03140096618357	0.346105617371153	63.1513609088898	94	22
"apoptosis"	"MESH"	0.0369318181818181	13	1643.88403495052	0.457866323731913	3.47641941391941	0.0456619736194664	-54.6745031920381	724	29
"apoptosis inducing factor/metabolism"	"MESH"	0.0056818181818181	2	1954.1393696409	0.484176389951546	7.26479076479076	0.212381549499214	-7.15966230759779	455	6
"apoptosis regulatory proteins/metabolism"	"MESH"	0.0056818181818181	2	1041.73005172901	0.463527008529232	8.62862364243943	0.16663723591689	99.0781300248207	35	26
"apoptosis/drug effects"	"MESH"	0.210227272727273	74	2116.37667902499	0.505372660987729	3.28573229918083	0.0478464627545594	76.6123855343071	69	19
"apoptosis/genetics"	"MESH"	0.0056818181818181	2	2156.97009102565	0.450681071787031	11.5333333333333	0.350990460468881	-102.149092307366	890	8
"arachidonic acid/toxicity"	"MESH"	0.002840909090909	1	629.448667661068	0.439816948013097	3.6421568627451	0.0221524261519658	65.7036765352555	89	3
"ARG1"	"GENE"	0.0085227272727272	3	2352.44767832433	0.491627540038519	9.98954085130555	0.335829986825606	5.47866546039974	375	30
"arginase/metabolism"	"MESH"	0.002840909090909	1	17709.2188868993	0.454076235289615	7.12891497178581	0.412170044919922	-16.5339858955827	515	22
"aromatase inhibitors/toxicity"	"MESH"	0.002840909090909	1	14205.4216765974	0.441440029254309	7.02945845004668	0.371095300074602	-79.0520431958748	796	19
"ASAH2"	"GENE"	0.002840909090909	1	10907.9709951645	0.472459404067565	6.47845121556868	0.293939778733671	23.687879176346	255	6
"ascorbic acid/pharmacology"	"MESH"	0.0056818181818181	2	424.751824175852	0.420704459749383	2.71993464052288	0.00923199631751877	-54.322159699096	723	9
"ASH1L"	"GENE"	0.002840909090909	1	148067.911382114	0.460831409836116	10.2844196723992	0.835070078252726	-0.85762379213686	400	30
"asparaginase"	"MESH"	0.002840909090909	1	5118.44034565441	0.437823200874212	3.93973485946102	0.0935828399549214	-25.7942592395761	589	6
"aspirin/administration & dosage"	"MESH"	0.002840909090909	1	15590.1069223504	0.473390401849018	7.66732238349885	0.477790035078808	22.3636612916971	262	22
"aspirin/pharmacology"	"MESH"	0.002840909090909	1	979.845341044254	0.473887572452699	3.3615323201001	0.0292346550054761	48.4441742892478	145	22
"astrocytes/drug effects"	"MESH"	0.002840909090909	1	266484.158270048	0.398715088968887	9.57543290043289	0.808708393517563	19.2624457344987	316	18
"ATF6"	"GENE"	0.0056818181818181	2	1098.0895401675	0.432243354736321	2.23973012281836	0.0162943842161236	-98.7583740200229	886	13
"ATG5"	"GENE"	0.0085227272727272	3	1246.94954691527	0.47148671636834	6.52361111111111	0.119310606180854	-31.4372866570107	615	6
"ATL1"	"GENE"	0.037037037037037	1	3052.85918998521	0.413496030183798	4.13452380952381	0.0921017126712275	-32.0546345514684	620	7
"ATM"	"GENE"	0.002840909090909	1	3003.84728522331	0.435111652455201	4.35415149568073	0.108905017380676	25.9860470781216	235	2
"autocrine communication"	"MESH"	0.002840909090909	1	23262.7149443667	0.406107200524793	6.47806026365348	0.352272186155775	22.1526045151114	272	28
"autophagy"	"MESH"	0.0142045454545454	5	488.846202163616	0.422259484038592	2.63461718020542	0.0103510261741877	-57.6766218899752	726	10
"autophagy-related protein-1 homolog/metabolism"	"MESH"	0.002840909090909	1	3352.00060119243	0.413851214727058	4.34933487565066	0.114398977794003	-78.1881509397896	791	10
"autophagy-related proteins/genetics"	"MESH"	0.002840909090909	1	4125.7821077019	0.44093395600109	4.09780228933152	0.0971294106442755	-23.4795172938377	564	6
"autophagy/drug effects"	"MESH"	0.0198863636363636	7	1970.39546675973	0.486269565547904	6.04145021645022	0.155069959206997	10.0786336456468	347	6
"azocines/immunology"	"MESH"	0.002840909090909	1	9802.08405493695	0.461270545833922	7.42730179028133	0.401526364660878	86.9241199141576	41	26
"azoles/pharmacology"	"MESH"	0.002840909090909	1	122126.156146231	0.437885843692377	9.41116287094547	0.753121974254377	-98.4610562336753	880	7
"b-lymphocytes/drug effects"	"MESH"	0.0085227272727272	3	208.77793192458	0.447532402548277	1.6738455988456	0.00178965413247409	6.69038725400749	362	17
"b-lymphocytes/metabolism"	"MESH"	0.037037037037037	1	531.362197208771	0.381850882774139	1.83333333333333	0.00620029840796178	24.8074130761008	245	25
"b7-h1 antigen/antagonists & inhibitors"	"MESH"	0.0142045454545454	5	1907.03103209695	0.48788218316025	7.8541416916417	0.250749988095427	30.3269826653379	223	2
"b7-h1 antigen/genetics"	"MESH"	0.0056818181818181	2	763.699601393585	0.470685733643137	7.26890142021721	0.101614458500659	93.8130021813104	38	2
"b7-h1 antigen/metabolism"	"MESH"	0.0085227272727272	3	1334.86465422377	0.469355831277927	7.07612942612942	0.149600799987302	-44.1265770206314	681	9
"bacterial adhesion"	"MESH"	0.0284090909090909	10	374.092228414522	0.405257626411737	1.98710080768904	0.00471817907652259	-100.673885170921	888	10
"bacterial capsules/metabolism"	"MESH"	0.0056818181818181	2	291.727298556171	0.428777661688532	3.73028817587641	0.0108153045189759	-112.267145098215	927	10
"bacterial infections/immunology"	"MESH"	0.002840909090909	1	8089.21429336772	0.40673240430607	5.37609427609427	0.199193266773543	40.4361880171797	174	12
"bacterial proteins/genetics"	"MESH"	0.0710227272727272	25	256.831211041694	0.391245706538791	1.14821077755957	0.000984111363311693	-175.630593112958	994	10
"bacterial proteins/metabolism"	"MESH"	0.0738636363636363	26	340.572977855946	0.406866555089199	1.5665487683625	0.0024880557451469	-116.878191758088	930	10
"bacterial toxins/genetics"	"MESH"	0.0880681818181818	31	411.790741589055	0.409975049339333	1.7029451104531	0.00379160648243679	-162.007490052276	983	10
"bacterial toxins/metabolism"	"MESH"	0.184659090909091	65	3389.74037298875	0.451136885149829	3.1417323891628	0.0541866398946049	-47.4897140110372	695	10
"bacterial translocation"	"MESH"	0.0085227272727272	3	731.631731839092	0.420209156815119	3.98501400560224	0.0299548816685449	-142.928324269705	968	26
"basic-leucine zipper transcription factors/analysis"	"MESH"	0.037037037037037	1	3938.54849638821	0.421846862076699	4.35119047619047	0.124134934366121	-94.8530466357157	855	6
"bcl-2 homologous antagonist-killer protein/genetics"	"MESH"	0.002840909090909	1	159565.420617272	0.452903235650506	12.5101449275362	0.888499785717687	-105.069590883895	901	8
"bcl-2-associated x protein/genetics"	"MESH"	0.0056818181818181	2	1347.86886217312	0.450681071787031	11.5333333333333	0.246819494928652	-102.149196063308	891	8
"bcl-2-associated x protein/metabolism"	"MESH"	0.002840909090909	1	176592.237343756	0.470938313568857	10.3497664171577	0.858889144616752	-4.42778326363382	445	20
"BCL2"	"GENE"	0.0198863636363636	7	1305.52100906041	0.491674295250486	6.66564238135446	0.126220218726687	-19.511245247949	540	20
"BCL2L1"	"GENE"	0.002840909090909	1	438.266503866077	0.473887572452699	3.3615323201001	0.0132884795479437	48.444158406603	146	22
"BDKRB2"	"GENE"	0.0056818181818181	2	1153.89377017716	0.448463469643267	4.06904761904762	0.0452671386168473	45.2984580584026	153	25
"benzamides/pharmacology"	"MESH"	0.0056818181818181	2	222.183160973802	0.454559353734599	2.43452380952381	0.00404755480071745	39.5653547233202	178	2
"benzhydryl compounds/immunology"	"MESH"	0.002840909090909	1	8178.33834559252	0.461270545833922	7.42730179028133	0.388252765829114	86.9241066934416	42	26
"benzylamines"	"MESH"	0.0113636363636363	4	1647.91685168628	0.47831997732597	7.30118969618969	0.186639894604848	22.2341548251042	266	19
"benzylidene compounds/chemistry"	"MESH"	0.002840909090909	1	28836.8464742844	0.429196325152779	7.35316962730755	0.476820804431676	-17.117858006731	522	9
"benzylidene compounds/pharmacology"	"MESH"	0.002840909090909	1	1745.91756090576	0.465417828569849	5.24837164750958	0.109343502484088	-51.3393238195131	715	2
"beta-defensins/immunology"	"MESH"	0.002840909090909	1	60426.689101657	0.425528178242974	7.41943515421776	0.559253027729719	-28.5319565919046	596	31
"beta-lactamases/genetics"	"MESH"	0.0056818181818181	2	455.360674996661	0.416066150782902	2.34234422019052	0.00781535213726766	-65.2483988819502	760	13
"bile duct neoplasms/pathology"	"MESH"	0.002840909090909	1	12561.8283951582	0.42992420137916	6.86358543417366	0.340066030697925	-25.2308392365518	581	17
"bile ducts intrahepatic/metabolism"	"MESH"	0.002840909090909	1	12150.2461232557	0.42992420137916	6.86358543417366	0.334818098125427	-25.2308444635763	582	17
"biofilms/drug effects"	"MESH"	0.0085227272727272	3	472.011182323389	0.438192903009754	4.81511544011544	0.0321869890954112	-76.0637287824471	783	7
"biological factors/chemistry"	"MESH"	0.002840909090909	1	16025.2633861619	0.406107200524793	6.47806026365348	0.326772590911255	22.1525791171082	273	28
"biological products/chemistry"	"MESH"	0.037037037037037	1	10567.3561915845	0.421703139513249	5.68018018018018	0.238603355502294	19.7335145843837	307	13
"biological transport"	"MESH"	0.0056818181818181	2	222.014472457004	0.385981428361728	3.15215782334426	0.00559514928334471	-172.655193554005	993	21
"biomarkers"	"MESH"	0.0056818181818181	2	1161.76776426128	0.471473106014003	9.19438431938432	0.192794558816527	60.8149096005481	102	14
"biomarkers tumor"	"MESH"	0.0056818181818181	2	1460.79501834618	0.422781521053494	9.76273448773449	0.245094323899621	-77.6568172575626	786	24
"biomarkers/blood"	"MESH"	0.002840909090909	1	60341.9044008823	0.420750581648903	8.63980179028132	0.651973778193997	-37.942099468806	658	26
"biomarkers/metabolism"	"MESH"	0.002840909090909	1	38622.3961005476	0.465211788756006	10.0020164476047	0.707714956905446	-13.4039734424575	492	29
"biopterin/analogs & derivatives"	"MESH"	0.002840909090909	1	30053.7651732239	0.466730750975195	8.01858151011074	0.565256900684116	54.3943015636863	116	17
"BIRC2"	"GENE"	0.002840909090909	1	13845.2724549455	0.445717135528118	7.07592592592592	0.383121894890557	52.093470623216	127	26
"BIRC5"	"GENE"	0.002840909090909	1	10690.2346365892	0.473390401849018	7.66732238349885	0.42585633561372	22.3636095649048	264	22
"blastocyst/drug effects"	"MESH"	0.002840909090909	1	13080.2078032663	0.442120277770817	6.89285714285714	0.351306923699624	108.218888792093	28	14
"BLVRB"	"GENE"	0.0085227272727272	3	835.670423207317	0.441806382261053	3.20515873015873	0.022327026555134	-68.282214942884	772	6
"BNIP3"	"GENE"	0.002840909090909	1	4224.50575359934	0.460372954085525	7.3766806722689	0.319790558880018	-24.1388451620581	571	6
"bone marrow cells/drug effects"	"MESH"	0.0056818181818181	2	248.160436904589	0.415163589771617	3.90059523809524	0.0100087697020682	28.4001929757265	228	15
"bone marrow/drug effects"	"MESH"	0.0085227272727272	3	1497.28005597831	0.432129460643868	5.85516183655718	0.119804645958001	-23.050353241762	562	19
"bone marrow/pathology"	"MESH"	0.002840909090909	1	33464.341499792	0.427692976920898	7.36734006734006	0.50760503801527	21.1939287614766	291	16
"bone neoplasms/genetics"	"MESH"	0.002840909090909	1	22812.1454876935	0.420389311390867	7.40939153439153	0.482881224107554	-97.3939865977724	866	21
"bone neoplasms/metabolism"	"MESH"	0.002840909090909	1	2373.35807112347	0.449841962236747	4.12796181274442	0.0819867938604149	19.3836043361418	311	19
"bortezomib/pharmacology"	"MESH"	0.002840909090909	1	43885.4259817137	0.454006489382714	7.6958605664488	0.577818209234774	-21.3305709124084	546	16
"brain neoplasms/genetics"	"MESH"	0.037037037037037	1	15599.821614585	0.341812135618898	7.36666666666666	0.435295669910001	-15.9823448610071	511	4
"breast neoplasms/blood supply"	"MESH"	0.002840909090909	1	128927.917786168	0.455370147484694	10.977355977356	0.845960778400343	20.4324264704046	299	1
"breast neoplasms/drug therapy"	"MESH"	0.0113636363636363	4	651.975020760859	0.451755421899049	4.38185795513382	0.0399596831796321	-18.4146069860102	530	5
"breast neoplasms/immunology"	"MESH"	0.002840909090909	1	18795.8162578951	0.43901085166765	7.07037037037037	0.407573887716068	35.4314711217256	205	25
"breast neoplasms/metabolism"	"MESH"	0.0056818181818181	2	609.203947191717	0.447561734373594	5.38207070707071	0.048471452834082	-103.995973626649	894	19
"breast neoplasms/therapy"	"MESH"	0.002840909090909	1	3627326.53225294	0.443972334183595	16.4194444444444	0.981162997412739	-58.7854325004288	736	12
"bronchi/drug effects"	"MESH"	0.002840909090909	1	169061.356719277	0.426266401584322	10.2761904761905	0.837590871573467	21.9116968865147	276	3
"BTRC"	"GENE"	0.002840909090909	1	10976.2876101914	0.481440214322237	8.56422466422466	0.467027309090332	81.5529834259425	55	14
"burkitt lymphoma/drug therapy"	"MESH"	0.002840909090909	1	8566.59224145288	0.444358870142094	5.79229980969111	0.236648029396359	-19.324945301677	537	16
"butyrates/pharmacology"	"MESH"	0.002840909090909	1	4659.91021118003	0.450021459879829	5.64665286404416	0.197336153394391	-35.0567040856062	635	29
"C2"	"GENE"	0.0113636363636363	4	282.188521064913	0.426949873730087	2.39219201850781	0.00517253694385803	50.865207612055	137	2
"CA2"	"GENE"	0.0085227272727272	3	418.686430870714	0.397228059075137	4.23788798920378	0.0209917302899954	-146.222108263026	974	13
"caco-2 cells"	"MESH"	0.0511363636363636	18	235.837027534746	0.401127456563416	1.35324947265525	0.00141862827574165	-220.297101123646	1001	10
"caffeic acids/adverse effects"	"MESH"	0.002840909090909	1	150949.745995442	0.403013820781567	9.14882154882154	0.747543689782702	37.1474309646566	186	27
"calcium-binding proteins/metabolism"	"MESH"	0.0056818181818181	2	474.173081810146	0.407881609880174	2.90033853152497	0.0115672767098935	-103.352563809152	892	21
"calcium/metabolism"	"MESH"	0.0142045454545454	5	798.748743107506	0.420128309969526	3.26829004329004	0.0221246488150982	-81.876528390986	805	13
"CALR"	"GENE"	0.002840909090909	1	3393.45861235016	0.411247688214697	4.13368910782704	0.0985698639704132	-80.4819631263102	803	9
"calreticulin/analysis"	"MESH"	0.002840909090909	1	2796560.15799092	0.443972334183595	16.4194444444444	0.977222583768512	-58.7854364251436	738	12
"calreticulin/metabolism"	"MESH"	0.002840909090909	1	3365.29191882342	0.411247688214697	4.13368910782704	0.0979270170314757	-80.481963766596	804	9
"CAMK2A"	"GENE"	0.002840909090909	1	135308.432985686	0.398715088968887	9.57543290043289	0.778882478055904	19.2624160274115	320	18
"CAMK2B"	"GENE"	0.002840909090909	1	107015.84395291	0.398715088968887	9.57543290043289	0.769508618910811	19.2624066908985	321	18
"cancer vaccines/pharmacology"	"MESH"	0.002840909090909	1	18571.9128630292	0.43901085166765	7.07037037037037	0.405868557641942	35.4314694231896	206	25
"carbazoles/pharmacology"	"MESH"	0.002840909090909	1	16411.497974339	0.459021005772568	7.22433862433862	0.409547070681418	114.966695662818	13	2
"carbolines/pharmacology"	"MESH"	0.0113636363636363	4	1781.62753875375	0.50389713946819	5.78576546277385	0.132934397866701	46.5898485254286	149	17
"carcinoembryonic antigen/immunology"	"MESH"	0.002840909090909	1	1885665.79934658	0.443972334183595	16.4194444444444	0.974267273535341	-58.7854393686797	741	12
"carcinogenesis/drug effects"	"MESH"	0.002840909090909	1	30268.3165322033	0.427692976920898	7.36734006734006	0.502509880795543	21.1939236866188	292	16
"carcinoma hepatocellular/drug therapy"	"MESH"	0.0113636363636363	4	1173.98883409873	0.503264044819181	6.19780931839755	0.104998333359788	-9.66446883680974	478	14
"carcinoma hepatocellular/genetics"	"MESH"	0.002840909090909	1	17193.8540983795	0.447326919266914	6.70119047619047	0.352692814399771	-105.598311167916	909	9
"carcinoma lewis lung/immunology"	"MESH"	0.002840909090909	1	6727.94306720496	0.461270545833922	7.42730179028133	0.373651807114173	86.924092150654	43	26
"carcinoma non-small-cell lung/drug therapy"	"MESH"	0.0113636363636363	4	2586.14089770979	0.501159973519337	8.03128058216294	0.290074760718084	86.3284763262276	45	2
"carcinoma non-small-cell lung/genetics"	"MESH"	0.002840909090909	1	10076.3642407871	0.433290773623564	5.29642438881569	0.205603879303503	21.5656938509645	285	1
"carcinoma pancreatic ductal/drug therapy"	"MESH"	0.002840909090909	1	2679.87511059153	0.453630797360404	3.99745989304813	0.0773321058395898	-0.774503552021321	389	6
"carcinoma pancreatic ductal/metabolism"	"MESH"	0.037037037037037	1	1539341.63909955	0.396777356913399	13.037037037037	0.953705099919049	-84.2850209183625	819	24
"carcinoma squamous cell/immunology"	"MESH"	0.002840909090909	1	14650.6063162818	0.459021005772568	7.22433862433862	0.399529372549642	114.966685685031	14	2
"carrier proteins/immunology"	"MESH"	0.002840909090909	1	6436.31002025278	0.467111382707209	7.03140096618357	0.30943953270583	63.1513243888851	96	22
"CASP1"	"GENE"	0.0113636363636363	4	88.8074888646509	0.411486644609981	1.2200937950938	0.000517848923032968	-78.1381554618825	787	10
"CASP3"	"GENE"	0.0255681818181818	9	1753.35334519295	0.472103308459224	5.83315865421128	0.135944270725861	7.58629503068618	358	29
"CASP8"	"GENE"	0.0142045454545454	5	1089.69510694289	0.48569992900409	5.60189902689903	0.084066125934509	-44.4460437984419	683	20
"caspase 3/genetics"	"MESH"	0.002840909090909	1	8828.58092490982	0.438083018871616	6.64973262032085	0.289727544007238	-96.2764681476726	859	8
"caspase 3/metabolism"	"MESH"	0.0085227272727272	3	1037.80167160922	0.486589830294846	8.3274531024531	0.161354581673307	2.0869081296222	381	29
"caspase 8/metabolism"	"MESH"	0.0056818181818181	2	839.34056677308	0.464693044844767	5.07159983291562	0.0601865446580213	-71.3172195188017	777	20
