CommunityID	pathway	ORA.P.Value	ORA.Adj.P.Value	Community.Pathway.Overlap	CommunityMeanQScore	CommunitySize	CommunityGenes
26	Chaperonin-mediated protein folding	1.34979194092626e-38	3.73892367636573e-36	TUBB1_GAPDHS_TUBA4A_CCT7_KIF13A_TUBB2B_PFDN1_TUBB4A_CCT6A_CCT5_VBP1_CCT8_CCT3_CCT2_TUBA1A_TUBA1C_TCP1_TUBA3E_TUBB6_TUBB3_CCT6B_TUBA8_TUBA1B_TUBB4B_FBXL3_PFDN2_FBXW4_PFDN4_FBXO6_TUBAL3_CCT4_PFDN6_PFDN5	2.12997810718413e-05	85	PPP5C_VASH1_PDRG1_TUBB1_TBCB_CDC37_GAPDHS_MKKS_TUBA4A_CCDC117_DCLK1_CCT7_CYP27A1_KIF13A_TUBB2B_PFDN1_EHD2_KIF1B_TUBB4A_PDCL3_TXNDC9_CCT6A_CCT5_HSPB8_VBP1_CCT8_AIFM1_CCT3_TSC1_TCP11L2_CCT2_TUBA1A_TUBA1C_TBCA_TCP1_TUBA3E_TUBB6_TUBB3_EML4_ISG20L2_PSMG2_CCT6B_SPATA8_PSMG1_TUBA8_EML1_TCP11L1_TUBA1B_DCX_TUBB_TUBB4B_STMN4_TBCD_FBXL3_EML6_C17orf102_STIP1_CCT8L2_PFDN2_BAG3_FBXW4_PFDN4_TBCC_PSAT1_FBXO6_TUBAL3_CAMSAP1_BBS10_KIF7_CCT4_PNPLA1_PFDN6_PSMG4_KIF5C_VKORC1L1_STMN1_CAMSAP3_VASH2_BBS12_KIF1A_TBCE_PFDN5_TUBB8_GTF2I_EML2
20	Nuclear Receptor transcription pathway	2.85257917074261e-36	7.24317394437729e-34	NR1D1_NR1H2_RARA_NR0B2_THRA_NCOR1_PPARD_HNF4A_PGR_NR2F1_RORC_RARB_NR1I2_ESR2_NR4A2_RXRG_ESRRG_NR5A2_NR1I3_RXRB_RORB_THRB_NCOR2_ESRRA_PPARA_RARG_ESR1_RXRA_NR4A1_NR1H4_NR1H3	7.29354404657717e-05	93	TFAP2D_HDAC7_TFAP2C_HDAC10_TBL1X_PDIA2_MID1_USF2_CAV2_NMI_NR1D1_FOXA1_NR1H2_RARA_NR0B2_ROR1_CREBBP_AJUBA_EP300_ZNF106_HDAC4_THRA_LYL1_PPARGC1A_NCOR1_POU4F2_ATAD2_HDAC11_HDAC3_KMT5B_PPARD_TRIM59_HNF4A_ETV4_DDX54_PGR_CARM1_NR2F1_RORC_RARB_NR1I2_SRA1_ESR2_NR4A2_PTGES2_RXRG_ESRRG_NR5A2_NR1I3_USF1_ZNF217_NCOA3_CITED4_TFAP2E_HDAC8_RXRB_ABCA1_MKX_RORB_POU4F1_TFAP2A_GPS2_GREB1_PAX3_NCOA7_JMY_THRB_DEK_GRIP1_NRIP1_NCOR2_KCTD1_ESRRA_NCOA1_PPARA_KDM3A_RARG_KCTD15_CITED1_ESR1_TBL1XR1_PRMT1_SESTD1_RXRA_ADAMTS12_FAM120B_NR4A1_CITED2_NR1H4_CALCOCO1_CHD9_NR1H3_CRABP2
47	Death Receptor Signalling	4.75372529898481e-35	1.11420007584667e-32	TNFRSF1A_TAB1_RIPK2_TNFRSF10A_TNFSF10_TRAF2_RIPK1_BIRC3_USP4_TNFRSF10B_OTULIN_BAG4_FADD_FAS_TNFRSF10D_MADD_CFLAR_CASP2_RNF31_TRADD_RBCK1_CASP8_CLIP3_TAB2_FASLG_MAP3K7_CHUK_XIAP_TRAF1_TAB3_SQSTM1_TAX1BP1_SHARPIN_CYLD_TNF_NSMAF_IKBKB_TRAF6_BIRC2_TNFAIP3_IKBKG	0.000114875800410217	116	TNFRSF17_TNFRSF1A_USP18_TAB1_RIPK3_RIPK2_TNFRSF10A_NOD1_LTBR_TNFSF10_TNFSF9_TRAF2_TICAM1_NDFIP1_OASL_HTRA2_RIPK1_TRAF5_TNFRSF13B_NLRC5_PRKCQ_BIRC3_IFIH1_USP4_TNFRSF10B_AASDHPPT_OTULIN_BAG4_TNFRSF13C_TNFSF12_TLR3_PRDX3_NOD2_FADD_FAS_MLKL_TNFRSF10D_MADD_CFLAR_CASP2_RNF31_MALT1_FAIM2_TRIM25_TNFRSF12A_RNF135_TBK1_PIDD1_TRADD_TNFSF13_MAP4K4_STK39_RBCK1_TNFRSF10C_CASP8_PELI1_MAP3K5_CLIP3_TIFA_MAP3K3_TAB2_FASLG_MAP3K7_TNFRSF6B_CHUK_BCL10_CD40LG_ZBP1_XIAP_CD40_C9orf78_CAP1_TRAF1_TNFSF15_UGCG_TNFSF13B_TNFRSF1B_TNFRSF25_TAB3_DDX58_SQSTM1_TANK_FAF1_TAX1BP1_TRIM40_CARD11_SHARPIN_MAP3K1_CARD10_RAD54L2_NLRX1_CYLD_DIABLO_TNF_MAVS_LTA_LTB_NSMAF_BIRC8_SPATA2_AZI2_MAP3K6_TNIP3_IKBKB_TRAF6_CRADD_IKBKE_ERC1_TNFSF14_BIRC2_TNFRSF9_RTEL1-TNFRSF6B_TNFAIP3_MAP3K14_NR2C2_IKBKG
141	RHO GTPase cycle	1.47075926588146e-34	3.20100248795773e-32	ARHGDIG_RHOV_ARHGDIB_RHPN2_ARHGAP20_ANLN_RHOF_ARHGDIA_RHOB_RTKN_RHOC_PKN3_RHOD_RHOJ_ROCK2_DIAPH2_ARHGEF25_ARHGEF1_RHOBTB1_NET1_RHOU_KIF14_PKN2_RND3_RHOH_CIT_DIAPH1_ROCK1_DIAPH3_RHOA_MCF2L	4.27715400410929e-05	38	RASL10A_ARHGDIG_RHOV_ARHGDIB_RHPN2_ARHGAP20_ANLN_RHOF_ARHGDIA_RHOB_RTKN_RHOC_PKN3_RHOD_RHOJ_ROCK2_DIAPH2_RHOT2_ARHGEF25_ARHGEF1_RHOBTB1_RAP1GDS1_NET1_RHOT1_RHOU_KIF14_PKN2_RND3_SHROOM2_RHOH_CIT_PRC1_DIAPH1_ROCK1_DIAPH3_RHOA_PRRC1_MCF2L
141	Signaling by Rho GTPases	3.02985810661345e-34	6.15465176723413e-32	ARHGDIG_RHOV_ARHGDIB_RHPN2_ARHGAP20_ANLN_RHOF_ARHGDIA_RHOB_RTKN_RHOC_PKN3_RHOD_RHOJ_ROCK2_DIAPH2_ARHGEF25_ARHGEF1_RHOBTB1_NET1_RHOU_KIF14_PKN2_RND3_RHOH_CIT_PRC1_DIAPH1_ROCK1_DIAPH3_RHOA_MCF2L	4.27715400410929e-05	38	RASL10A_ARHGDIG_RHOV_ARHGDIB_RHPN2_ARHGAP20_ANLN_RHOF_ARHGDIA_RHOB_RTKN_RHOC_PKN3_RHOD_RHOJ_ROCK2_DIAPH2_RHOT2_ARHGEF25_ARHGEF1_RHOBTB1_RAP1GDS1_NET1_RHOT1_RHOU_KIF14_PKN2_RND3_SHROOM2_RHOH_CIT_PRC1_DIAPH1_ROCK1_DIAPH3_RHOA_PRRC1_MCF2L
26	Prefoldin mediated transfer of substrate  to CCT/TriC	6.69665528964603e-34	1.2002769804442e-31	TUBB1_TUBA4A_CCT7_TUBB2B_PFDN1_TUBB4A_CCT6A_CCT5_VBP1_CCT8_CCT3_CCT2_TUBA1A_TUBA1C_TCP1_TUBB6_TUBB3_CCT6B_TUBB4B_PFDN2_PFDN4_CCT4_PFDN6_PFDN5	2.12997810718413e-05	85	PPP5C_VASH1_PDRG1_TUBB1_TBCB_CDC37_GAPDHS_MKKS_TUBA4A_CCDC117_DCLK1_CCT7_CYP27A1_KIF13A_TUBB2B_PFDN1_EHD2_KIF1B_TUBB4A_PDCL3_TXNDC9_CCT6A_CCT5_HSPB8_VBP1_CCT8_AIFM1_CCT3_TSC1_TCP11L2_CCT2_TUBA1A_TUBA1C_TBCA_TCP1_TUBA3E_TUBB6_TUBB3_EML4_ISG20L2_PSMG2_CCT6B_SPATA8_PSMG1_TUBA8_EML1_TCP11L1_TUBA1B_DCX_TUBB_TUBB4B_STMN4_TBCD_FBXL3_EML6_C17orf102_STIP1_CCT8L2_PFDN2_BAG3_FBXW4_PFDN4_TBCC_PSAT1_FBXO6_TUBAL3_CAMSAP1_BBS10_KIF7_CCT4_PNPLA1_PFDN6_PSMG4_KIF5C_VKORC1L1_STMN1_CAMSAP3_VASH2_BBS12_KIF1A_TBCE_PFDN5_TUBB8_GTF2I_EML2
51	Telomere C-strand (Lagging Strand) Synthesis	6.69665528964603e-34	1.2002769804442e-31	RFC2_RPA3_RPA1_CHTF18_LIG1_POLD3_POLA2_WRN_FEN1_POLD4_DSCC1_PRIM1_DNA2_RPA2_POLA1_PCNA_RFC3_RFC1_RFC4_POLD1_RFC5_CHTF8_POLD2_PRIM2	1.48909973865085e-05	85	RFC2_DMC1_POLE2_CHRAC1_RPA3_POLK_MAD2L2_HELB_PARP2_RPA1_MACROD1_REV1_HUS1_BACH1_TOPBP1_TIPIN_CHTF18_LIG1_POLD3_ZRANB3_NBN_POLA2_MDP1_ETAA1_UHRF2_CEP164_SPRTN_WRN_FEN1_DONSON_RAD9A_POLD4_CLSPN_ATAD5_PRIMPOL_RCHY1_DSCC1_POLE_ATRIP_MRE11_PIF1_TOP1MT_PURA_RAD54B_ATR_CDAN1_ZBTB14_SMARCAL1_PRIM1_DNA2_RAD52_REV3L_RFWD3_EXO1_PARP1_CHD1L_RAD54L_POLH_RPA4_RPA2_RAD50_POLA1_PCNA_FBH1_RFC3_HUS1B_RFC1_RAD1_RAD51_RFC4_RAD9B_PURB_RBBP8_PARG_RPAIN_CHEK1_POLD1_RFC5_CHTF8_RAD17_POLG2_TIMELESS_RHNO1_POLD2_PRIM2
47	TNF signaling	1.55269866452635e-33	2.62837379489543e-31	TNFRSF1A_TAB1_TRAF2_RIPK1_BIRC3_USP4_OTULIN_BAG4_FADD_MADD_CFLAR_RNF31_TRADD_RBCK1_CASP8_CLIP3_TAB2_MAP3K7_CHUK_XIAP_TRAF1_TAB3_TAX1BP1_SHARPIN_CYLD_TNF_NSMAF_IKBKB_BIRC2_TNFAIP3_IKBKG	0.000114875800410217	116	TNFRSF17_TNFRSF1A_USP18_TAB1_RIPK3_RIPK2_TNFRSF10A_NOD1_LTBR_TNFSF10_TNFSF9_TRAF2_TICAM1_NDFIP1_OASL_HTRA2_RIPK1_TRAF5_TNFRSF13B_NLRC5_PRKCQ_BIRC3_IFIH1_USP4_TNFRSF10B_AASDHPPT_OTULIN_BAG4_TNFRSF13C_TNFSF12_TLR3_PRDX3_NOD2_FADD_FAS_MLKL_TNFRSF10D_MADD_CFLAR_CASP2_RNF31_MALT1_FAIM2_TRIM25_TNFRSF12A_RNF135_TBK1_PIDD1_TRADD_TNFSF13_MAP4K4_STK39_RBCK1_TNFRSF10C_CASP8_PELI1_MAP3K5_CLIP3_TIFA_MAP3K3_TAB2_FASLG_MAP3K7_TNFRSF6B_CHUK_BCL10_CD40LG_ZBP1_XIAP_CD40_C9orf78_CAP1_TRAF1_TNFSF15_UGCG_TNFSF13B_TNFRSF1B_TNFRSF25_TAB3_DDX58_SQSTM1_TANK_FAF1_TAX1BP1_TRIM40_CARD11_SHARPIN_MAP3K1_CARD10_RAD54L2_NLRX1_CYLD_DIABLO_TNF_MAVS_LTA_LTB_NSMAF_BIRC8_SPATA2_AZI2_MAP3K6_TNIP3_IKBKB_TRAF6_CRADD_IKBKE_ERC1_TNFSF14_BIRC2_TNFRSF9_RTEL1-TNFRSF6B_TNFAIP3_MAP3K14_NR2C2_IKBKG
51	Extension of Telomeres	7.08100482341069e-33	1.13556956299644e-30	RFC2_RPA3_RPA1_CHTF18_LIG1_POLD3_POLA2_WRN_FEN1_POLD4_DSCC1_PIF1_PRIM1_DNA2_RPA2_POLA1_PCNA_RFC3_RFC1_RFC4_POLD1_RFC5_CHTF8_POLD2_PRIM2	1.48909973865085e-05	85	RFC2_DMC1_POLE2_CHRAC1_RPA3_POLK_MAD2L2_HELB_PARP2_RPA1_MACROD1_REV1_HUS1_BACH1_TOPBP1_TIPIN_CHTF18_LIG1_POLD3_ZRANB3_NBN_POLA2_MDP1_ETAA1_UHRF2_CEP164_SPRTN_WRN_FEN1_DONSON_RAD9A_POLD4_CLSPN_ATAD5_PRIMPOL_RCHY1_DSCC1_POLE_ATRIP_MRE11_PIF1_TOP1MT_PURA_RAD54B_ATR_CDAN1_ZBTB14_SMARCAL1_PRIM1_DNA2_RAD52_REV3L_RFWD3_EXO1_PARP1_CHD1L_RAD54L_POLH_RPA4_RPA2_RAD50_POLA1_PCNA_FBH1_RFC3_HUS1B_RFC1_RAD1_RAD51_RFC4_RAD9B_PURB_RBBP8_PARG_RPAIN_CHEK1_POLD1_RFC5_CHTF8_RAD17_POLG2_TIMELESS_RHNO1_POLD2_PRIM2
51	Homologous DNA Pairing and Strand Exchange_AND_Presynaptic phase of homologous DNA pairing and strand exchange	6.41021927344348e-32	9.76596906309114e-30	RFC2_RPA3_RPA1_HUS1_TOPBP1_NBN_WRN_RAD9A_ATRIP_MRE11_ATR_DNA2_EXO1_RPA2_RAD50_RFC3_RAD1_RAD51_RFC4_RAD9B_RBBP8_CHEK1_RFC5_RAD17_RHNO1	1.48909973865085e-05	85	RFC2_DMC1_POLE2_CHRAC1_RPA3_POLK_MAD2L2_HELB_PARP2_RPA1_MACROD1_REV1_HUS1_BACH1_TOPBP1_TIPIN_CHTF18_LIG1_POLD3_ZRANB3_NBN_POLA2_MDP1_ETAA1_UHRF2_CEP164_SPRTN_WRN_FEN1_DONSON_RAD9A_POLD4_CLSPN_ATAD5_PRIMPOL_RCHY1_DSCC1_POLE_ATRIP_MRE11_PIF1_TOP1MT_PURA_RAD54B_ATR_CDAN1_ZBTB14_SMARCAL1_PRIM1_DNA2_RAD52_REV3L_RFWD3_EXO1_PARP1_CHD1L_RAD54L_POLH_RPA4_RPA2_RAD50_POLA1_PCNA_FBH1_RFC3_HUS1B_RFC1_RAD1_RAD51_RFC4_RAD9B_PURB_RBBP8_PARG_RPAIN_CHEK1_POLD1_RFC5_CHTF8_RAD17_POLG2_TIMELESS_RHNO1_POLD2_PRIM2
