ODC_0	ODC_1	ODC_2	ODC_5	ODC_6	IBD-AP_0	PSO-AP_0	RA_AP_0	RA_AP_2	CTR_0	MP-ST_0	MP-ST_2	MP-ST_3	MP-ST_5	MP-ST_6	MP-TA_0	BRE-ST_0	BRE-ST_1	COL_0	COL_2	MM-ST_0	UM-ST_0	UM-ST_1
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	0.00148187153173753	0.000728502320951166	0.000697485643782308	0.000383174324672581	0.000409196029808015	0.000159193376357375	1.65224608763454e-05	3.36487573233045e-06	6.69611714070562e-06	1.4269295707701e-06	0.000338101157695057	0.000119309690084747	0.000104022630812674	0.000184131566865074	0.000156469879176188	7.80199291431153e-05	4.13942912577979e-06	1.12396864621507e-07	0.00927737160882718	2.53713536725366e-05	0.000204949771862126	3.4601753001473e-05	1.84934188245042e-06
Signaling by SCF-KIT	0.00417870746160886	0.00635555257997764	0.00168061915202339	0.00170149767369951	0.0012988256595798	0.000174426885706404	4.22829086483385e-05	5.69828252091752e-05	4.80882169636843e-06	1.63353871895579e-07	0.000159667656848369	0.000144106132630315	4.06766759036128e-05	8.99479748777045e-05	0.000121192608958513	0.00018584924793253	4.14071987937358e-06	6.75549338910688e-07	0.00034601565015654	9.2537720491554e-06	3.83973891760531e-05	5.51533000936631e-05	9.23282045104962e-07
Insulin receptor signalling cascade	0.00178204756202433	0.0033915656588457	0.00390611151800681	0.00335480241353561	0.00586915966061445	0.000163254999515409	6.92481535771582e-05	1.49955426580901e-06	4.37025176472565e-07	6.93397694465639e-07	0.000201415336744498	0.000190346476043683	0.000243030512227221	0.000950969287461548	0.000191829208452338	6.88269590812909e-06	5.41798492239603e-06	1.10791376012133e-06	3.22236669072842e-05	3.60635428506595e-06	0.000186406877050771	8.41564607499143e-05	8.30537459405213e-07
Signaling by FGFR3	0.00188986308040764	0.0026355303902146	0.00326891611256622	0.0050027420850481	0.00500059861424331	0.00550182549894146	0.00607906767166667	0.000395380823844506	0.000770108924140378	2.85868417786042e-05	0.00378498588448732	0.003353561703787	0.00252412261689319	0.00641219109438936	0.00114249509129588	0.000879055970776364	8.27890879252603e-06	6.64698128976675e-05	0.000455633074359741	0.000212710529880939	0.000142505545243366	0.000590491485001524	0.000301473189668128
Semaphorin interactions	0.00509436805722715	0.00685145750545564	0.0171259195456563	0.0124501550635205	0.0124697086029346	0.00124110235614019	0.00580185046922479	0.00173434924056706	0.00250789880860307	9.85483937464183e-06	0.0001399892388817	3.78464533032361e-05	2.13149327844986e-05	2.05765186920371e-05	0.000114268025641522	0.000130165209370272	9.2309469322336e-06	3.79945039163507e-06	9.70047812604295e-05	3.79785400404362e-06	7.43253890909619e-06	6.2152628124482e-05	1.8619180465809e-05
CD28 dependent PI3K/Akt signaling	0.00163112805069283	0.00271328819822472	0.00167075405088145	0.00102889648347845	0.0017211904080192	0.99936320502732	0.456794764933115	0.162681447686731	0.0696881573075776	0.00164498432422499	0.00170680498409993	0.00247495730162522	0.00179097771180708	0.0016227334859055	0.00790420863318038	0.00444822716325738	1.33538612707882e-05	0.00330919512491774	0.00186083447670243	0.000295491028564192	0.024275685279421	0.000942872340058061	0.00198065548687543
Signaling by MET	0.0102006628250994	0.00764736135338371	0.0111609065131598	0.00542854983715841	0.00458116929194213	0.00171117325270671	0.00896213690280541	5.18698415263261e-05	0.00010391543728358	8.11843307987563e-06	0.000562724283590236	0.00035678648051403	8.56673865135951e-05	0.000259610016824758	7.81058828822987e-05	0.000666882245152218	1.67370623115713e-05	1.14893278519361e-05	0.000216506792498808	1.19722645977402e-05	5.94223342338423e-05	0.000439010950238778	3.87545822270596e-05
G1 Phase	0.000114298548828853	0.000367374348544792	0.000399860271056001	0.000252230444813807	0.000261919865626708	0.0147772590776906	0.0597911337574077	0.0484547955589237	0.0404220407212724	0.000202131380687985	0.0457234850372432	0.0277235622207761	0.0334494586430957	0.0262532071606668	0.00216931322137745	0.0501041747701166	1.70033530963634e-05	3.32073953027501e-05	0.00576703714601947	0.000901429964822851	0.000174507460817255	0.047953623270807	0.00270920456924887
Platelet Aggregation (Plug Formation)	0.00260585829456755	0.00219484472285321	0.000885253993728522	0.00185846105841209	0.000898311136819141	0.0233455756786609	0.0177992899324347	8.53766525588783e-06	0.000136889361297567	2.96498442030758e-06	0.00528389826103312	0.0022155167749835	0.00444965963313441	0.00592844382463681	0.00126227296058079	0.000188499824217381	2.11244847928219e-05	1.98409942755707e-05	3.71309629156453e-06	7.93059137758712e-07	2.40258656335153e-06	9.38404890118099e-06	5.95892238507625e-06
Signaling by KIT in disease	0.00565530319228019	0.00838673284592092	0.00291848510549701	0.0013984171202199	0.00089886765358456	0.00018021110650489	0.000207640535686419	3.65224892521807e-05	7.40771411767637e-06	1.22260380328823e-05	0.00200585369357645	0.000752919964782811	0.00162451134896893	0.00243074373158065	0.000489593305309459	8.94317691066466e-05	2.27969972243267e-05	1.5093883841763e-06	0.000165713529207694	0.000133594556114206	0.000104747143569546	8.61855926434515e-05	6.70850490720211e-06
RA biosynthesis pathway	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	2.97640518306998e-08	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	4.82421214378077e-06	0.99936320502732	2.40296445342243e-05	4.08400304179352e-11	0.99936320502732	0.99936320502732	1.4535944925934e-06	0.99936320502732	7.23826846356386e-06
Translocation of SLC2A4 (GLUT4) to the plasma membrane	0.000656391475995773	0.00054570040684539	0.000684989445010948	0.000828771079179767	0.000697941181502949	0.000214761365817276	0.0166970748680836	0.000429931369019478	0.000311706886247565	0.000167664827741188	8.663688075508e-05	0.000245252711938966	0.000647873684305804	0.000279103238470429	0.000142164632217089	0.000399569319312145	2.47574554902749e-05	3.28377020650257e-05	0.000244713524267462	4.00381063555276e-05	7.98211337771555e-05	0.000345633390865703	0.000134247611755576
Signaling by Non-Receptor Tyrosine Kinases	0.0124632871822132	0.00306039060882912	0.00293411824991045	0.00400901430831354	0.0049666243776294	0.000178905741175454	0.00154957984687615	0.0026012947270416	0.00453132095687204	1.19293466754018e-05	0.00851564630609135	0.00413256530610668	0.00552270729471315	0.00176283042745687	0.000246639053210043	0.00290734959888383	2.7052709429427e-05	5.11507034421769e-05	0.000132658415535321	6.57845747707355e-06	6.70340218974583e-06	0.000155856956589522	0.000961013736793523
Integrin cell surface interactions	0.0382111242318584	0.0399450749481242	0.0293842826963086	0.0395182161264472	0.0436318044228257	0.000267710189595246	0.0492754401979674	0.000521304647072083	0.00119192654329465	1.91729326695513e-05	0.0575522835056099	0.00586683585704933	0.00696940908993123	0.00553871168870881	0.00344454107825139	0.0105809211302456	3.02563743347304e-05	0.000265241123172709	0.000912610061261778	0.0021846633757314	9.08958238791722e-05	0.0110017167265066	0.00138135242299873
Signalling to ERKs	0.000307081620090893	0.000207192895901444	0.00100263274949415	0.000868563207940964	0.000628400957407516	0.000924673127206703	0.00232896196166347	3.43100748853345e-05	8.36860809717368e-05	1.41400234180019e-05	0.000614748156615728	0.000469047161637248	0.000252429335413636	0.000472206372307977	0.000156701436987593	0.000214937360456403	3.32976097948782e-05	3.67689545586868e-06	1.89324270278429e-05	9.02507386746979e-06	5.53258271325329e-06	0.000112971176855951	3.61664748188026e-05
Cyclin D associated events in G1	0.000115618451437456	0.000190337149762523	0.00012327171175944	0.000245675988620951	0.000269995280574282	0.00796367603012204	0.0670742601079008	0.0427490271197052	0.0501449056778022	0.000553112166213468	0.0409621417190738	0.031392553088389	0.0286072994009283	0.0328133503174772	0.00396229635592032	0.0401609247243713	3.72691577491194e-05	7.04178392957138e-06	0.00337966887507784	0.000350361634697607	0.000570428837947904	0.0377775226678238	0.00196787007661212
Signaling by FGFR2	0.000901909057354782	0.00242423529449273	0.00510949411584314	0.00458246136054006	0.00452829262843884	0.00268440207896724	0.00657624886302375	0.000849000792342218	0.0026117772198842	1.49820823156734e-05	0.00212127276347025	0.00452375632323651	0.00351782305039193	0.00471980764038971	0.00165640084978008	0.00157630000360401	3.80286461655677e-05	1.93026484326992e-05	0.000541291427279822	0.000362452308499953	0.000161190095172029	0.00163709256077394	0.000229459499451309
TP53 Regulates Metabolic Genes	0.000414209204356826	0.000737340750747553	0.000407907406251014	0.000459802406839864	0.000260514167274756	0.000313185530839032	0.0201641651788452	0.000245925752028875	0.000215943065195864	0.000110450428208505	0.000261242501878546	0.000390613461662473	0.000534255038575299	0.00044331589573219	0.00321642759256139	0.000521937423737986	3.89942860973047e-05	8.69308389346689e-05	0.000384620970772139	1.85674097230245e-05	1.68789068548266e-05	0.000399724050431733	0.000462899315164071
Signalling to RAS	0.0283480580251558	0.00624682066499853	0.00699927200562165	0.00156964564013294	0.00344927312466755	0.0107490330008655	0.0172529780959228	0.00137601530574622	0.00143616414763269	8.28533261322773e-05	0.00110776644249091	0.00421317138900665	0.00343173081504507	0.00340659156126041	0.00196459152575636	0.00464489062574272	4.0725402634554e-05	0.000199248026164851	0.000810668429349044	0.000580861043828269	0.000362454684076893	0.00141588750296978	0.000924576082407691
Toll Like Receptor 7/8 (TLR7/8) Cascade	0.0049849450251571	0.00330350190149856	0.0014720870970609	0.00157419396945049	0.00238657784639907	9.86128573118351e-05	0.000273273073013253	0.00129072198280971	0.00185078404815753	5.19751008356066e-07	0.000304058974542415	0.000309185752175957	8.56619016094856e-05	0.000117456896178417	6.3169988433256e-05	0.00224367497935537	4.28485270718281e-05	4.99237107442616e-05	0.000493683178021049	5.06672483952307e-06	0.000220650252481287	0.00140499397710189	1.81167060593565e-05
Negative regulation of MAPK pathway	0.00121725699855693	0.00289273481027926	0.00334959731721274	0.00136833916856522	0.00255183417316892	0.00125236716101885	0.0155424394347269	0.0015318182799503	0.00462312120514042	6.11805951184534e-06	0.000482343857581723	0.00267081360015773	0.000899857116248256	0.00236845088203921	0.000321818048947572	0.000228538393751709	4.32742110245423e-05	1.83906263638967e-05	0.00072942327632674	2.02414658510996e-05	2.59794167842388e-05	0.000799456298994783	1.39507672049954e-05
Signaling by FGFR1	0.00139906641314573	0.00183341722869331	0.00472156717382108	0.00371863040059049	0.00243235629710827	0.00510677839840539	0.00398816672129524	0.00055366552145701	0.00109619267132536	2.23103677915707e-05	0.00151234841831049	0.00268152245915184	0.0023182665489131	0.00296899251865764	0.000896379649659625	0.00379787123858336	4.4588481670281e-05	1.95405227340744e-05	0.000359158273639466	0.00019341857667568	0.00017687833324327	0.00233507491159929	0.000243182219920921
VEGF ligand-receptor interactions	0.016927798286023	0.0160472332962152	0.0169172179027058	0.0211660616096491	0.0267066998845952	0.0816953988949575	0.740790212472644	0.00274528042272991	0.00314907953182926	0.000131483064415798	0.0593505313075854	0.079041447049666	0.100049675730064	0.119441140855834	0.563806798278647	4.74855423326554e-05	4.60423559991335e-05	0.000224583698948108	0.62873793343632	0.0625129445772001	2.21036098675735e-05	0.725360779430926	0.00476362798179573
DAP12 signaling	0.0103960028684818	0.00677181550399446	0.00660171658170836	0.00318467224750505	0.0036387784021819	0.00518094041212945	2.18037445306951e-05	2.99077494145291e-05	1.51432858708204e-05	5.67731775760374e-06	0.00305859892280373	0.00233908261145966	0.0018853258300031	0.00160701887706881	0.000358831429806041	0.000127798422188415	4.67003619392275e-05	8.73824070219011e-06	6.41197953890307e-05	2.84542549466574e-05	7.31050861633205e-06	7.97329548435293e-06	1.61112607448165e-05
Regulation of APC/C activators between G1/S and early anaphase	0.205858891085701	0.472659725658416	0.129896056917668	0.145070375105209	0.148473121387186	0.0107880177018701	0.0529973279071265	0.0146709650449522	0.154151303907648	0.000221976083143631	0.0269817202193031	0.00674413830161643	0.0103899831453986	0.00540034348481191	0.00629285876346499	0.671962927779121	4.90675846556586e-05	0.000121818775176364	0.0127176388584096	0.00147610416499822	0.000368505843792702	0.00618248060406112	0.000560881594202939
Signaling by FGFR4	0.00253930542548173	0.00397472967441832	0.00156682900578443	0.00585591531646514	0.00350566215465256	0.00284530683638413	0.0041856608622556	0.000334382619097567	0.00167690837933	4.9580853042015e-06	0.00480409146280991	0.00615009368892742	0.00311248170827613	0.0058078158447651	0.000967838921603496	0.000318930241759222	4.91785757375896e-05	8.7202025744975e-06	0.000224616530858024	0.000298771247954865	0.000240030631294967	0.000446107760423646	0.000472063267038251
p38MAPK events	0.226271245791342	0.0043928094070616	0.00329461753975239	0.00495913906340972	0.00575070038947318	0.0814903075180556	0.0233035062975044	0.00462345070837603	0.00758990909544745	0.000659532292100021	0.0145868556304825	0.0116961805756314	0.0105278993178731	0.0100195503936158	0.00387048846655114	0.045710760790351	5.3880270056213e-05	0.000533399078284718	0.00377857705635387	0.0012921369159363	0.000500537159477255	0.0317873615125236	0.0017210553896053
Netrin-1 signaling	0.0195926613619821	0.00399012023035231	0.00256996523329513	0.00146144976703546	0.00318605666391619	0.000534166425043014	0.0154068890709923	0.0127994689999702	0.00266289929967177	4.19725143783557e-05	0.000726233630337637	0.000963383236885743	0.000384697026644506	0.00023311616977229	0.00018398403310172	0.0179963153170221	6.07037165177422e-05	3.14250485163312e-05	0.00177286083672588	0.000175756214277135	0.000123204294838397	0.000206933003944107	9.16095343786166e-05
RET signaling	0.0397961871703214	0.0406842852743458	0.0442464609108389	0.0232627866917311	0.0230901242251817	0.0149128285260736	0.00176478315151264	6.92103676478457e-05	9.1743487174552e-05	3.40181540552026e-05	0.00113234025215812	0.00174350550667372	0.001394358369124	0.00167663195903932	0.00253400348919667	0.000926136763911591	6.73626806349923e-05	4.99385818203379e-05	0.00265211364241417	0.000286039898252777	6.88638539581342e-05	0.00060916362855471	0.000183905222023074
FOXO-mediated transcription	9.2082387529515e-05	3.97797118027298e-05	4.77184938070562e-06	3.06974224533426e-05	0.000116237905009173	0.00133772305545617	0.00275314899872054	0.000694404970506966	0.000425740356149243	3.80385314058813e-05	0.00931211224831461	0.00596256727887862	0.00608429538457336	0.00698704970350698	0.0123509241398619	0.000384434837533002	7.50052898683138e-05	2.41417327841002e-05	0.0023731192224751	0.00130781027209904	0.000237817619069192	0.00382963691483699	0.00012594481021347
Signaling by PTK6	0.0175160674553157	0.00519304979441413	0.0036680505578705	0.00308946444565787	0.00634077242553863	0.000267448969454353	0.00136226746374219	0.00148215892754632	0.00424985321932485	6.19401861468655e-06	0.00360689981613757	0.00784523162604818	0.008260553908597	0.00502947505268853	0.000619228056247401	0.00140466134369679	8.50352987604194e-05	8.81031541403762e-05	0.00031195842600095	2.90157749910043e-06	1.39739303141404e-05	0.000132956552248718	0.000592313388445718
Downstream signal transduction	0.00168616901340081	0.0122826248812299	0.00658965570397267	0.00529256575066684	0.0046285327576832	0.000769825415178437	0.00319569103689772	8.18640353896815e-05	3.55341833831477e-05	1.64090009995351e-05	0.00282807842924588	0.00100874094532855	0.0027236622158094	0.00142469427783771	0.000995966926380572	0.000515903107701909	9.01526088170222e-05	1.70540280352686e-05	0.000659111796526259	7.24228467199899e-05	4.77431409329044e-05	6.45056522505037e-05	7.9296141559257e-05
VEGF binds to VEGFR leading to receptor dimerization	0.0140422290442099	0.0191054748901162	0.0200462815131314	0.0268597033486953	0.0219522740114548	0.0765985662974433	0.755894443209832	0.00412317416456692	0.0033299160294934	5.01546581686457e-05	0.0290842239942156	0.0956207638322777	0.0802338353021438	0.104815458300753	0.57418386350334	6.6995597167414e-05	0.000113195224931163	0.0001845480940208	0.623892316897755	0.0650666318768277	0.000202721755198262	0.742304798801493	0.00325698902313547
Intrinsic Pathway for Apoptosis	0.000221957904485844	0.00224034954323528	0.00370459582317527	0.00221961623894144	0.00318581298984383	0.0164581350876031	0.584979939536893	0.000182120221583374	0.00102734491438507	0.000147588361999741	0.00218415764698819	0.00318713398043628	0.00426927902824147	0.00258869995895263	0.000728920708719573	0.00255698539784869	0.000121341247787524	0.000183899545781429	0.000866690428643038	0.00143004857127721	0.000270942554340037	0.000822532303275871	0.000719060647474302
PI3K Cascade	0.0707218116218148	0.00835107540847804	0.0128914433216787	0.00797426832143104	0.012946754154493	0.000312091419484347	1.92546742074029e-05	3.47858167295952e-05	3.82540476474748e-05	4.74537177133848e-06	0.0837896950712519	0.0137141459794043	0.00334100398357697	0.00620445891508325	0.000402172087159405	5.21490324045271e-05	0.000123631623372141	1.59191139716667e-05	9.14863826675885e-05	3.7276628941188e-05	0.00287210660525903	8.37588073016134e-05	1.08134122108327e-05
Signaling by FGFR in disease	0.392408360111622	0.181488901981799	0.0210845979072917	0.011590637656867	0.0175307764534149	0.00472662476467465	0.00721845772763239	0.00118874497374354	0.000835024006638983	0.000340851363027689	0.00362625620735872	0.00142801434535893	0.00104797188559568	0.00128929551416085	0.00106717895875067	0.000284178010886236	0.000131448050708327	0.000109520682619087	0.000345821857911787	0.000693403695893383	0.0015870947786974	4.83159473016307e-05	0.000174031614371501
