#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:2000147	Positive regulation of cell motility	14	555	1.08	5.25e-09	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248553,9606.ENSP00000264657,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000385834,9606.ENSP00000437955	HMOX1,TGFB1,HSPB1,STAT3,ATM,CALR,HMGB1,FN1,TLR4,JAK2,NFE2L2,IL6,TF,HIF1A
GO Process	GO:0001775	Cell activation	15	693	1.02	5.80e-09	9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000280612,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000386559,9606.ENSP00000398632	TGFB1,TICAM1,HSPB1,STAT3,TP53,ATM,SLC7A11,HMGB1,FN1,ATG5,TLR4,JAK2,IL6,CD8A,CD44
GO Process	GO:0032732	Positive regulation of interleukin-1 production	8	73	1.72	5.80e-09	9606.ENSP00000248553,9606.ENSP00000264657,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000415743	HSPB1,STAT3,NLRP3,HMGB1,TLR4,JAK2,IL6,CD36
GO Process	GO:0080134	Regulation of response to stress	19	1373	0.82	6.23e-09	9606.ENSP00000248553,9606.ENSP00000248923,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000280612,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000378431,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000450482,9606.ENSP00000478931,9606.ENSP00000498596	HSPB1,GGT1,TP53,ATM,SLC7A11,NLRP3,HMGB1,ATG5,TLR4,JAK2,MMRN1,NFE2L2,IL6,CD44,CD36,HIF1A,BDKRB2,AIFM2,STING1
GO Process	GO:0006952	Defense response	19	1394	0.82	7.63e-09	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000263317,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000385834,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000450482,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,NOX4,STAT3,TP53,NLRP3,HMGB1,FN1,TLR4,JAK2,NFE2L2,IL6,TF,CD44,CD36,HIF1A,BDKRB2,STING1
GO Process	GO:0001817	Regulation of cytokine production	15	739	0.99	1.03e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000264657,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,HSPB1,STAT3,NLRP3,HMGB1,FN1,ATG5,TLR4,JAK2,IL6,CD36,HIF1A,STING1
GO Process	GO:0001819	Positive regulation of cytokine production	13	482	1.11	1.03e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000264657,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,HSPB1,STAT3,NLRP3,HMGB1,TLR4,JAK2,IL6,CD36,HIF1A,STING1
GO Process	GO:0002376	Immune system process	22	2121	0.7	1.35e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000261024,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000273550,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000335062,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000385834,9606.ENSP00000386559,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,SLC40A1,STAT3,TP53,FTH1,ATM,CALR,PDCD1,NLRP3,HMGB1,ATG5,TLR4,JAK2,IL6,TF,CD8A,CD44,CD36,HIF1A,STING1
GO Process	GO:0010647	Positive regulation of cell communication	20	1693	0.75	1.78e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000339787,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000357704,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,NOX4,SLC9A1,STAT3,TP53,ATM,CALR,ACSL4,HMGB1,FN1,S100A4,TLR4,JAK2,IL6,CD44,CD36,HIF1A,STING1
GO Process	GO:0023056	Positive regulation of signaling	20	1698	0.75	1.79e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000339787,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000357704,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,NOX4,SLC9A1,STAT3,TP53,ATM,CALR,ACSL4,HMGB1,FN1,S100A4,TLR4,JAK2,IL6,CD44,CD36,HIF1A,STING1
GO Process	GO:0008219	Cell death	17	1118	0.86	2.03e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000261024,9606.ENSP00000263980,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000335062,9606.ENSP00000337383,9606.ENSP00000358072,9606.ENSP00000371067,9606.ENSP00000378897,9606.ENSP00000385675,9606.ENSP00000437955,9606.ENSP00000450482,9606.ENSP00000453177,9606.ENSP00000478931	HMOX1,TGFB1,TICAM1,SLC40A1,SLC9A1,TP53,ATM,PDCD1,NLRP3,ATG5,JAK2,ASAH2,IL6,HIF1A,BDKRB2,TRIM69,AIFM2
GO Process	GO:0009967	Positive regulation of signal transduction	19	1525	0.78	2.49e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000357704,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,NOX4,SLC9A1,STAT3,TP53,ATM,CALR,HMGB1,FN1,S100A4,TLR4,JAK2,IL6,CD44,CD36,HIF1A,STING1
GO Process	GO:0030335	Positive regulation of cell migration	13	529	1.07	2.49e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248553,9606.ENSP00000264657,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000437955	HMOX1,TGFB1,HSPB1,STAT3,ATM,CALR,HMGB1,FN1,TLR4,JAK2,NFE2L2,IL6,HIF1A
GO Process	GO:0006950	Response to stress	26	3358	0.57	2.89e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000280612,9606.ENSP00000320866,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000378431,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000385834,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000450482,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,HSPB1,NOX4,SLC9A1,STAT3,TP53,ATM,SLC7A11,CALR,NLRP3,HMGB1,FN1,ATG5,TLR4,JAK2,MMRN1,NFE2L2,IL6,TF,CD44,CD36,HIF1A,BDKRB2,STING1
GO Process	GO:0010646	Regulation of cell communication	26	3355	0.57	2.89e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000280612,9606.ENSP00000320866,9606.ENSP00000337383,9606.ENSP00000339787,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000357704,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000378897,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000450482,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,HSPB1,NOX4,SLC9A1,STAT3,TP53,ATM,SLC7A11,CALR,NLRP3,ACSL4,HMGB1,FN1,S100A4,TLR4,JAK2,ASAH2,NFE2L2,IL6,CD44,CD36,HIF1A,BDKRB2,STING1
GO Process	GO:0023051	Regulation of signaling	26	3367	0.57	2.91e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000280612,9606.ENSP00000320866,9606.ENSP00000337383,9606.ENSP00000339787,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000357704,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000378897,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000450482,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,HSPB1,NOX4,SLC9A1,STAT3,TP53,ATM,SLC7A11,CALR,NLRP3,ACSL4,HMGB1,FN1,S100A4,TLR4,JAK2,ASAH2,NFE2L2,IL6,CD44,CD36,HIF1A,BDKRB2,STING1
GO Process	GO:0032760	Positive regulation of tumor necrosis factor production	8	101	1.58	2.96e-08	9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000264657,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000415743	TICAM1,HSPB1,STAT3,HMGB1,TLR4,JAK2,IL6,CD36
GO Process	GO:1902533	Positive regulation of intracellular signal transduction	16	997	0.89	3.30e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000357704,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743	HMOX1,TGFB1,TICAM1,NOX4,SLC9A1,TP53,ATM,CALR,HMGB1,FN1,S100A4,TLR4,JAK2,IL6,CD44,CD36
GO Process	GO:0031328	Positive regulation of cellular biosynthetic process	21	2041	0.69	3.77e-08	9606.ENSP00000221930,9606.ENSP00000226067,9606.ENSP00000248244,9606.ENSP00000261024,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000350012,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000385834,9606.ENSP00000398410,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000498596	TGFB1,HLF,TICAM1,SLC40A1,NOX4,SLC9A1,STAT3,TP53,ATM,NLRP3,HMGB1,ACSL3,TLR4,JAK2,NFE2L2,IL6,TF,KDM8,CD36,HIF1A,STING1
GO Process	GO:0009611	Response to wounding	12	444	1.11	3.95e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248553,9606.ENSP00000280612,9606.ENSP00000346839,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000378431,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955	HMOX1,TGFB1,HSPB1,SLC7A11,FN1,TLR4,JAK2,MMRN1,IL6,CD44,CD36,HIF1A
GO Process	GO:0032731	Positive regulation of interleukin-1 beta production	7	61	1.74	3.95e-08	9606.ENSP00000248553,9606.ENSP00000264657,9606.ENSP00000337383,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000415743	HSPB1,STAT3,NLRP3,TLR4,JAK2,IL6,CD36
GO Process	GO:0042060	Wound healing	11	336	1.2	3.95e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248553,9606.ENSP00000280612,9606.ENSP00000346839,9606.ENSP00000363089,9606.ENSP00000378431,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955	HMOX1,TGFB1,HSPB1,SLC7A11,FN1,TLR4,MMRN1,IL6,CD44,CD36,HIF1A
GO Process	GO:0060548	Negative regulation of cell death	16	1016	0.88	3.95e-08	9606.ENSP00000216117,9606.ENSP00000248553,9606.ENSP00000261024,9606.ENSP00000263980,9606.ENSP00000269305,9606.ENSP00000280612,9606.ENSP00000335062,9606.ENSP00000358072,9606.ENSP00000371067,9606.ENSP00000378897,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000437955,9606.ENSP00000450482,9606.ENSP00000478931	HMOX1,HSPB1,SLC40A1,SLC9A1,TP53,SLC7A11,PDCD1,ATG5,JAK2,ASAH2,NFE2L2,IL6,CD44,HIF1A,BDKRB2,AIFM2
GO Process	GO:0042592	Homeostatic process	18	1406	0.79	4.36e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248553,9606.ENSP00000261024,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000273550,9606.ENSP00000280612,9606.ENSP00000320866,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000385834,9606.ENSP00000415743,9606.ENSP00000437955	HMOX1,TGFB1,HSPB1,SLC40A1,NOX4,SLC9A1,STAT3,FTH1,SLC7A11,CALR,HMGB1,TLR4,JAK2,NFE2L2,IL6,TF,CD36,HIF1A
GO Process	GO:0006915	Apoptotic process	16	1041	0.87	4.76e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000261024,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000335062,9606.ENSP00000337383,9606.ENSP00000358072,9606.ENSP00000371067,9606.ENSP00000378897,9606.ENSP00000385675,9606.ENSP00000437955,9606.ENSP00000450482,9606.ENSP00000453177,9606.ENSP00000478931	HMOX1,TGFB1,TICAM1,SLC40A1,TP53,ATM,PDCD1,NLRP3,ATG5,JAK2,ASAH2,IL6,HIF1A,BDKRB2,TRIM69,AIFM2
GO Process	GO:0048518	Positive regulation of biological process	33	6207	0.41	5.84e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000226067,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000261024,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000335062,9606.ENSP00000337383,9606.ENSP00000339787,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000350012,9606.ENSP00000357704,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000378431,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000385834,9606.ENSP00000386559,9606.ENSP00000398410,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000478931,9606.ENSP00000498596	HMOX1,TGFB1,HLF,TICAM1,HSPB1,SLC40A1,NOX4,SLC9A1,STAT3,TP53,ATM,CALR,PDCD1,NLRP3,ACSL4,HMGB1,FN1,ACSL3,S100A4,ATG5,TLR4,JAK2,MMRN1,NFE2L2,IL6,TF,CD8A,KDM8,CD44,CD36,HIF1A,AIFM2,STING1
GO Process	GO:0002718	Regulation of cytokine production involved in immune response	8	120	1.51	7.47e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000337383,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000385675,9606.ENSP00000415743	HMOX1,TGFB1,TICAM1,NLRP3,ATG5,TLR4,IL6,CD36
GO Process	GO:0043069	Negative regulation of programmed cell death	15	911	0.9	7.71e-08	9606.ENSP00000216117,9606.ENSP00000248553,9606.ENSP00000261024,9606.ENSP00000263980,9606.ENSP00000269305,9606.ENSP00000335062,9606.ENSP00000358072,9606.ENSP00000371067,9606.ENSP00000378897,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000437955,9606.ENSP00000450482,9606.ENSP00000478931	HMOX1,HSPB1,SLC40A1,SLC9A1,TP53,PDCD1,ATG5,JAK2,ASAH2,NFE2L2,IL6,CD44,HIF1A,BDKRB2,AIFM2
GO Process	GO:0009966	Regulation of signal transduction	24	2978	0.59	7.99e-08	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000357704,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000378897,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000450482,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,HSPB1,NOX4,SLC9A1,STAT3,TP53,ATM,CALR,NLRP3,HMGB1,FN1,S100A4,TLR4,JAK2,ASAH2,NFE2L2,IL6,CD44,CD36,HIF1A,BDKRB2,STING1
