kw1	kw2	crit_p	iteration	pg	edge_weight	R1C1	inv_edge_weight
tor serine-threonine kinases/metabolism	glycogen synthase kinase 3/metabolism	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
tor serine-threonine kinases/metabolism	iron/chemistry	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
tor serine-threonine kinases/metabolism	allografts	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
GSK3B	BTRC	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
GSK3B	GABPA	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
GSK3B	lung neoplasms/drug therapy	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
GSK3B	nf-e2-related factor 2/genetics	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
GSK3B	glycogen synthase kinase 3/metabolism	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
GSK3B	allografts	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
GSK3B	iron/chemistry	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
GSK3B	MTOR	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
GSK3B	PRKAA2	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
lung neoplasms/drug therapy	BTRC	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
lung neoplasms/drug therapy	GABPA	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
lung neoplasms/drug therapy	MTOR	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
lung neoplasms/drug therapy	PRKAA2	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
lung neoplasms/drug therapy	nf-e2-related factor 2/genetics	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
lung neoplasms/drug therapy	glycogen synthase kinase 3/metabolism	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
lung neoplasms/drug therapy	iron/chemistry	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
lung neoplasms/drug therapy	allografts	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
allografts	BTRC	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
allografts	GABPA	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
allografts	MTOR	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
allografts	PRKAA2	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
allografts	nf-e2-related factor 2/genetics	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
allografts	glycogen synthase kinase 3/metabolism	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
allografts	iron/chemistry	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
PRKAA2	BTRC	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
PRKAA2	GABPA	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
PRKAA2	MTOR	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
PRKAA2	nf-e2-related factor 2/genetics	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
PRKAA2	glycogen synthase kinase 3/metabolism	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
PRKAA2	iron/chemistry	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
nf-e2-related factor 2/genetics	BTRC	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
nf-e2-related factor 2/genetics	GABPA	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
nf-e2-related factor 2/genetics	MTOR	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
nf-e2-related factor 2/genetics	glycogen synthase kinase 3/metabolism	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
nf-e2-related factor 2/genetics	iron/chemistry	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
glycogen synthase kinase 3/metabolism	BTRC	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
glycogen synthase kinase 3/metabolism	GABPA	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
glycogen synthase kinase 3/metabolism	MTOR	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
glycogen synthase kinase 3/metabolism	iron/chemistry	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
BTRC	iron/chemistry	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
BTRC	GABPA	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
BTRC	MTOR	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
iron/chemistry	GABPA	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
iron/chemistry	MTOR	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
GABPA	MTOR	0.005912010576244	1	0.0031901655907421	0.0333333333333333	1	0.4960315991883324
