"entity"	"membership"
"b-lymphocytes/metabolism"	12
"BDKRB2"	12
"cytoskeletal proteins/metabolism"	12
"glutathione peroxidase/therapeutic use"	12
"bacterial toxins/metabolism"	13
"endothelial cells/metabolism"	13
"FTH1"	13
"heart ventricles/diagnostic imaging"	13
"hemodynamics/drug effects"	13
"HMGB1"	13
"hmgb1 protein/metabolism"	13
"hypertension pulmonary/chemically induced"	13
"inflammasomes/metabolism"	13
"inflammation/metabolism"	13
"lung/blood supply"	13
"macrophages/metabolism"	13
"monocrotaline/toxicity"	13
"nlr family pyrin domain-containing 3 protein/metabolism"	13
"NLRP3"	13
"NOX4"	13
"toll-like receptor 4/metabolism"	13
"basic-leucine zipper transcription factors/analysis"	14
"drug resistance neoplasm"	14
"GGT1"	14
"HLF"	14
"IL6"	14
"JAK2"	14
"STAT3"	14
"TGFB1"	14
"triple negative breast neoplasms/drug therapy"	14
"tumor-associated macrophages/drug effects"	14
"biomarkers tumor"	15
"carcinoma pancreatic ductal/metabolism"	15
"cell transformation neoplastic/genetics"	15
"diet"	15
"dna"	15
"KDM8"	15
"macrophages"	15
"membrane proteins/genetics"	15
"pancreas/metabolism"	15
"pancreatitis/genetics"	15
"phospholipid hydroperoxide glutathione peroxidase/genetics"	15
"proto-oncogene proteins p21(ras)/metabolism"	15
"quinoxalines/pharmacology"	15
"spiro compounds/pharmacology"	15
"STING1"	15
"tumor microenvironment"	15
